,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
0,苹果AP,2021-01-29,1,海通期货,50625,-36122,国泰君安,14639,-532,鲁证期货,20069,-358
1,苹果AP,2021-01-29,2,徽商期货,17611,-20226,中信期货,14611,-1569,海证期货,20029,147
2,苹果AP,2021-01-29,3,中信期货,17477,-14360,徽商期货,13307,235,永安期货,17851,112
3,苹果AP,2021-01-29,4,华泰期货,16455,-16239,华泰期货,12784,-1739,华泰期货,16599,-2778
4,苹果AP,2021-01-29,5,东吴期货,15974,-23397,方正中期,12468,-394,方正中期,14540,-742
5,苹果AP,2021-01-29,6,国泰君安,15286,-12554,永安期货,12041,127,宏源期货,14353,-391
6,苹果AP,2021-01-29,7,光大期货,15172,-12274,银河期货,10572,-1482,中信期货,13309,-1170
7,苹果AP,2021-01-29,8,华闻期货,12641,-8417,申银万国,10221,-318,东证期货,11693,-1724
8,苹果AP,2021-01-29,9,东证期货,12244,-10214,光大期货,9714,-2692,一德期货,11363,382
9,苹果AP,2021-01-29,10,华安期货,11624,-13087,中大期货,9649,-199,华闻期货,11060,-726
10,苹果AP,2021-01-29,11,方正中期,10066,-15704,华安期货,9332,-443,银河期货,10421,-1878
11,苹果AP,2021-01-29,12,东方财富,9892,-10042,东方财富,8686,-406,徽商期货,9851,-730
12,苹果AP,2021-01-29,13,银河期货,9496,-9878,南华期货,8154,139,国泰君安,9512,-1772
13,苹果AP,2021-01-29,14,国富期货,9204,-4070,海通期货,8067,-1032,海通期货,9496,-977
14,苹果AP,2021-01-29,15,宏源期货,8561,-11499,鲁证期货,8009,-347,华安期货,8952,-1
15,苹果AP,2021-01-29,16,招金期货,8338,-2475,信达期货,7686,-91,光大期货,8190,-2416
16,苹果AP,2021-01-29,17,申银万国,7640,-6503,长江期货,7667,131,招金期货,7635,-619
17,苹果AP,2021-01-29,18,永安期货,7193,-9055,国投安信期货,7216,293,中辉期货,7409,-512
18,苹果AP,2021-01-29,19,中辉期货,6891,-8330,国信期货,7193,-806,申银万国,7160,-40
19,苹果AP,2021-01-29,20,东航期货,6601,-3176,浙商期货,7177,-398,中信建投,6922,117
20,棉花CF,2021-01-29,1,东证期货,90334,7584,东证期货,46074,-1568,中信期货,55405,-2896
21,棉花CF,2021-01-29,2,海通期货,44881,4825,永安期货,42603,2370,东证期货,46701,656
22,棉花CF,2021-01-29,3,中信期货,42796,-3200,银河期货,38410,405,国投安信期货,46677,-2075
23,棉花CF,2021-01-29,4,华西期货,28992,-1142,长江期货,28944,423,华融融达期货,36047,-1250
24,棉花CF,2021-01-29,5,中辉期货,28498,17962,中信期货,26067,-1012,中国国际,34099,44
25,棉花CF,2021-01-29,6,光大期货,27199,5102,海通期货,21537,-5087,长江期货,31698,-1849
26,棉花CF,2021-01-29,7,华泰期货,26067,-3284,华泰期货,19733,1914,中粮期货,29221,-593
27,棉花CF,2021-01-29,8,国泰君安,25244,-1504,中粮期货,18860,2688,永安期货,28811,-142
28,棉花CF,2021-01-29,9,银河期货,24038,7958,国投安信期货,18141,330,国泰君安,25904,903
29,棉花CF,2021-01-29,10,广发期货,16451,3045,华融融达期货,14716,1513,银河期货,24790,1113
30,棉花CF,2021-01-29,11,永安期货,16130,1230,国泰君安,14546,-491,新湖期货,21557,-117
31,棉花CF,2021-01-29,12,中粮期货,15451,1320,南华期货,13923,1740,国贸期货,15480,-542
32,棉花CF,2021-01-29,13,东吴期货,14622,3508,申银万国,13800,42,华泰期货,12892,1017
33,棉花CF,2021-01-29,14,浙商期货,13555,2907,五矿经易期货,11457,202,信达期货,11482,-661
34,棉花CF,2021-01-29,15,宏源期货,13253,1338,浙商期货,9935,2802,瑞达期货,9115,-34
35,棉花CF,2021-01-29,16,海证期货,10578,4530,中信建投,8915,277,海通期货,8596,470
36,棉花CF,2021-01-29,17,国海良时,9008,2718,中辉期货,8751,4,兴证期货,8035,348
37,棉花CF,2021-01-29,18,徽商期货,8759,2557,弘业期货,8307,18,广发期货,7024,-202
38,棉花CF,2021-01-29,19,申银万国,8330,-552,新湖期货,8023,-26,大有期货,6911,-219
39,棉花CF,2021-01-29,20,新湖期货,8117,-272,兴证期货,7344,586,国海良时,5998,2059
40,红枣CJ,2021-01-29,1,海通期货,3816,931,中信期货,3024,-25,中信期货,2867,-130
41,红枣CJ,2021-01-29,2,东证期货,3560,1748,中辉期货,1906,-67,永安期货,2856,-173
42,红枣CJ,2021-01-29,3,国泰君安,1452,451,华泰期货,1792,42,五矿经易期货,2337,-43
43,红枣CJ,2021-01-29,4,中信期货,1401,-2195,徽商期货,1295,83,银河期货,1047,-40
44,红枣CJ,2021-01-29,5,新湖期货,1312,48,一德期货,1149,6,华泰期货,959,-141
45,红枣CJ,2021-01-29,6,五矿经易期货,1188,341,东航期货,1092,-16,鲁证期货,874,-155
46,红枣CJ,2021-01-29,7,永安期货,936,419,国泰君安,827,-33,中财期货,831,-23
47,红枣CJ,2021-01-29,8,华安期货,883,-23,南华期货,736,-180,江西瑞奇,795,201
48,红枣CJ,2021-01-29,9,华泰期货,851,255,永安期货,695,15,国泰君安,795,-27
49,红枣CJ,2021-01-29,10,鲁证期货,697,321,宏源期货,677,-25,华闻期货,754,-28
50,红枣CJ,2021-01-29,11,徽商期货,687,-405,信达期货,672,-17,云财富期货,583,-19
51,红枣CJ,2021-01-29,12,中辉期货,634,-51,国元期货,555,7,东方汇金期货,554,3
52,红枣CJ,2021-01-29,13,华闻期货,632,213,鲁证期货,543,80,长安期货,495,1
53,红枣CJ,2021-01-29,14,江西瑞奇,548,82,方正中期,495,-41,新湖期货,481,18
54,红枣CJ,2021-01-29,15,宏源期货,512,322,华安期货,435,-123,宏源期货,479,-13
55,红枣CJ,2021-01-29,16,光大期货,473,133,海通期货,421,65,海证期货,463,-20
56,红枣CJ,2021-01-29,17,申银万国,458,196,金鹏期货,410,-1,中大期货,451,-1
57,红枣CJ,2021-01-29,18,方正中期,449,97,瑞达期货,407,16,浙商期货,450,6
58,红枣CJ,2021-01-29,19,银河期货,445,80,先锋期货,392,-18,南华期货,448,40
59,红枣CJ,2021-01-29,20,中原期货,410,343,中信建投,389,-18,国投安信期货,444,-3
60,棉纱CY,2021-01-29,1,海通期货,13696,4381,宏源期货,876,149,宏源期货,921,98
61,棉纱CY,2021-01-29,2,美尔雅,5750,2523,天风期货,765,0,中信期货,833,-55
62,棉纱CY,2021-01-29,3,南华期货,1507,-661,五矿经易期货,672,67,五矿经易期货,670,65
63,棉纱CY,2021-01-29,4,中粮期货,1352,-861,永安期货,612,-2,永安期货,621,-45
64,棉纱CY,2021-01-29,5,国海良时,1099,649,南华期货,513,-184,南华期货,565,-181
65,棉纱CY,2021-01-29,6,永安期货,1073,487,弘业期货,431,3,摩根大通,461,45
66,棉纱CY,2021-01-29,7,瑞达期货,848,272,中信期货,415,-93,东证期货,423,92
67,棉纱CY,2021-01-29,8,东证期货,798,205,国投安信期货,400,26,中粮期货,406,-189
68,棉纱CY,2021-01-29,9,弘业期货,794,-146,长江期货,389,5,国投安信期货,396,19
69,棉纱CY,2021-01-29,10,中信期货,780,-95,大地期货,358,26,瑞达期货,360,11
70,棉纱CY,2021-01-29,11,宏源期货,765,170,瑞达期货,352,-19,弘业期货,359,-3
71,棉纱CY,2021-01-29,12,锦泰期货,730,10,东证期货,335,-72,长江期货,353,-1
72,棉纱CY,2021-01-29,13,长江期货,664,185,锦泰期货,305,6,锦泰期货,305,6
73,棉纱CY,2021-01-29,14,国投安信期货,597,100,国泰君安,220,1,国泰君安,229,-46
74,棉纱CY,2021-01-29,15,五矿经易期货,490,-139,中粮期货,215,-187,华泰期货,216,-12
75,棉纱CY,2021-01-29,16,光大期货,394,13,招商期货,146,105,海通期货,197,-16
76,棉纱CY,2021-01-29,17,浙商期货,337,54,华联期货,118,40,广发期货,151,0
77,棉纱CY,2021-01-29,18,东吴期货,321,218,海证期货,96,-2,美尔雅,131,-8
78,棉纱CY,2021-01-29,19,安粮期货,281,29,方正中期,70,15,光大期货,54,-4
