,order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,dominant_id,underlying_symbol
102,AL888,2010-01-04,19450.0,11410911350.0,19040.0,19690.0,131892.0,19700.0,19550.0,127660.0,19560.0,20075.0,19435.0,AL1004,AL
103,AL888,2010-01-05,19790.0,18812161750.0,19030.0,19500.0,215870.0,19820.0,19675.0,146912.0,19550.0,20065.0,19490.0,AL1004,AL
104,AL888,2010-01-06,20410.0,38792222200.0,19770.0,19770.0,430170.0,20545.0,20285.0,164378.0,19675.0,20545.0,19770.0,AL1004,AL
105,AL888,2010-01-07,20085.0,44739275150.0,19450.0,20650.0,495942.0,20935.0,20290.0,159386.0,20285.0,20935.0,19450.0,AL1004,AL
106,AL888,2010-01-08,19750.0,31310550950.0,19570.0,20020.0,356244.0,20140.0,19825.0,145602.0,20290.0,20830.0,19570.0,AL1004,AL
107,AL888,2010-01-11,20510.0,30161825600.0,20000.0,20020.0,335398.0,20520.0,20235.0,163544.0,19825.0,20520.0,20000.0,AL1004,AL
108,AL888,2010-01-12,20505.0,47278720650.0,19695.0,20430.0,520554.0,20575.0,20410.0,175814.0,20235.0,20770.0,20210.0,AL1004,AL
109,AL888,2010-01-13,19660.0,32687640000.0,19500.0,19750.0,374130.0,19890.0,19720.0,149034.0,20410.0,20950.0,19500.0,AL1004,AL
110,AL888,2010-01-14,19850.0,16104736250.0,19195.0,20060.0,182448.0,20065.0,19900.0,148542.0,19720.0,20240.0,19800.0,AL1004,AL
111,AL888,2010-01-15,19840.0,19711628050.0,19370.0,19930.0,223298.0,20075.0,19900.0,141990.0,19900.0,20425.0,19715.0,AL1004,AL
112,AL888,2010-01-18,19915.0,9434024550.0,19370.0,19650.0,107274.0,19965.0,19835.0,139062.0,19900.0,20425.0,19600.0,AL1004,AL
113,AL888,2010-01-19,19985.0,13088351250.0,19305.0,19890.0,147694.0,20110.0,19970.0,123694.0,19835.0,20360.0,19860.0,AL1004,AL
114,AL888,2010-01-20,19660.0,6260760100.0,19435.0,19980.0,71252.0,20030.0,19820.0,115292.0,19970.0,20500.0,19655.0,AL1004,AL
115,AL888,2010-01-21,19715.0,3645253750.0,19290.0,19550.0,41894.0,19740.0,19650.0,112484.0,19820.0,20345.0,19540.0,AL1004,AL
116,AL888,2010-01-22,19310.0,5135830500.0,19125.0,19525.0,59878.0,19620.0,19400.0,104184.0,19650.0,20170.0,19180.0,AL1004,AL
117,AL888,2010-01-25,19445.0,2096125300.0,18885.0,19345.0,24468.0,19545.0,19380.0,101060.0,19400.0,19910.0,19210.0,AL1004,AL
118,AL888,2010-01-26,19225.0,1304765450.0,18865.0,19465.0,15244.0,19500.0,19365.0,99426.0,19380.0,19890.0,19220.0,AL1004,AL
119,AL888,2010-01-27,19265.0,11181370150.0,18855.0,19310.0,130144.0,19365.0,19290.0,112064.0,19225.0,19890.0,19200.0,AL1005,AL
120,AL888,2010-01-28,18570.0,20448900000.0,18515.0,18830.0,246752.0,18880.0,18680.0,115150.0,19290.0,19805.0,18515.0,AL1005,AL
121,AL888,2010-01-29,18250.0,17532186450.0,18130.0,18280.0,216634.0,18415.0,18295.0,108346.0,18680.0,19175.0,18130.0,AL1005,AL
