,order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,dominant_id,underlying_symbol
103,CU888,2010-01-04,56750.0,86217531200.0,54610.0,56870.0,285600.0,57430.0,57090.0,161040.0,56410.0,58200.0,56540.0,CU1004,CU
104,CU888,2010-01-05,57310.0,81582259200.0,55270.0,57170.0,270286.0,57390.0,57080.0,160152.0,57090.0,58900.0,56620.0,CU1004,CU
105,CU888,2010-01-06,58350.0,97363124200.0,55260.0,57380.0,317130.0,58660.0,58120.0,172100.0,57080.0,58890.0,57230.0,CU1004,CU
106,CU888,2010-01-07,57890.0,181045455600.0,57230.0,58790.0,585286.0,60170.0,58580.0,159808.0,58120.0,60170.0,57230.0,CU1004,CU
107,CU888,2010-01-08,57410.0,161416550600.0,56400.0,57920.0,533576.0,58180.0,57220.0,155876.0,58580.0,60430.0,56400.0,CU1004,CU
108,CU888,2010-01-11,58890.0,97178799000.0,58250.0,58270.0,313530.0,59240.0,58710.0,156532.0,57220.0,59240.0,58250.0,CU1004,CU
109,CU888,2010-01-12,58420.0,82820711200.0,56850.0,58240.0,269398.0,58570.0,58200.0,151668.0,58710.0,60560.0,57770.0,CU1004,CU
110,CU888,2010-01-13,56490.0,113707553000.0,55490.0,56220.0,379902.0,57200.0,56580.0,157426.0,58200.0,60040.0,55490.0,CU1004,CU
111,CU888,2010-01-14,57470.0,55038085500.0,54780.0,57730.0,180786.0,57960.0,57600.0,150502.0,56580.0,58370.0,57320.0,CU1004,CU
112,CU888,2010-01-15,57230.0,47628384300.0,55770.0,57430.0,157256.0,57680.0,57290.0,148232.0,57600.0,59420.0,56890.0,CU1004,CU
113,CU888,2010-01-18,57600.0,34749387100.0,55470.0,56720.0,114758.0,57670.0,57280.0,140768.0,57290.0,59100.0,56680.0,CU1004,CU
114,CU888,2010-01-19,58350.0,27295438700.0,55460.0,57950.0,88826.0,58400.0,58170.0,120820.0,57280.0,59090.0,57870.0,CU1004,CU
115,CU888,2010-01-20,57560.0,95127124100.0,56260.0,58690.0,309334.0,58800.0,58060.0,172128.0,58010.0,59950.0,57540.0,CU1005,CU
116,CU888,2010-01-21,57530.0,107714462600.0,56210.0,57360.0,354376.0,57790.0,57350.0,185938.0,58060.0,59900.0,56860.0,CU1005,CU
117,CU888,2010-01-22,55920.0,132454403500.0,55160.0,56140.0,446150.0,56530.0,55930.0,205670.0,57350.0,59170.0,55160.0,CU1005,CU
118,CU888,2010-01-25,56490.0,94575612100.0,54140.0,56340.0,316838.0,56620.0,56250.0,209794.0,55930.0,57710.0,55840.0,CU1005,CU
119,CU888,2010-01-26,55770.0,106720690300.0,54450.0,56990.0,357058.0,57010.0,56330.0,216100.0,56250.0,58040.0,55740.0,CU1005,CU
120,CU888,2010-01-27,56090.0,100160921800.0,54530.0,56110.0,336408.0,56410.0,56100.0,214978.0,56330.0,58120.0,55670.0,CU1005,CU
121,CU888,2010-01-28,54040.0,148981589800.0,53610.0,54060.0,517296.0,54540.0,54160.0,225750.0,56100.0,57880.0,53610.0,CU1005,CU
122,CU888,2010-01-29,52130.0,149746693400.0,51950.0,53340.0,533156.0,53440.0,52730.0,234376.0,54160.0,55880.0,51950.0,CU1005,CU
123,CU888,2010-02-01,51030.0,166163243300.0,49920.0,51610.0,613814.0,51840.0,50700.0,216234.0,52730.0,54410.0,49920.0,CU1005,CU
124,CU888,2010-02-02,50860.0,125842511000.0,49070.0,51770.0,459288.0,52050.0,51350.0,206016.0,50700.0,52320.0,50670.0,CU1005,CU
