,order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,dominant_id,underlying_symbol
103,FG888,2012-12-03,727.0,662501900.0,694.0,758.0,24538.0,767.0,738.0,2986.0,808.0,921.0,726.0,FG1303,FG
104,FG888,2012-12-04,720.0,35994604600.0,691.0,718.0,1373086.0,735.0,720.0,168662.0,759.0,799.0,705.0,FG1305,FG
105,FG888,2012-12-05,740.0,40485230500.0,667.0,722.0,1526540.0,754.0,735.0,148090.0,720.0,773.0,720.0,FG1305,FG
106,FG888,2012-12-06,734.0,26739383600.0,681.0,742.0,1005208.0,747.0,739.0,166778.0,735.0,789.0,729.0,FG1305,FG
107,FG888,2012-12-07,740.0,24017489700.0,685.0,731.0,903684.0,749.0,738.0,136784.0,739.0,793.0,728.0,FG1305,FG
108,FG888,2012-12-10,745.0,16885316100.0,684.0,740.0,631448.0,753.0,746.0,148746.0,738.0,792.0,740.0,FG1305,FG
109,FG888,2012-12-11,702.0,42624965000.0,692.0,744.0,1624386.0,746.0,721.0,305548.0,746.0,800.0,695.0,FG1305,FG
110,FG888,2012-12-12,708.0,45460746300.0,668.0,698.0,1755162.0,715.0,704.0,223502.0,721.0,774.0,692.0,FG1305,FG
111,FG888,2012-12-13,698.0,51497688300.0,652.0,706.0,1986856.0,721.0,705.0,306244.0,704.0,756.0,691.0,FG1305,FG
112,FG888,2012-12-14,713.0,49976734300.0,653.0,696.0,1926362.0,724.0,706.0,239266.0,705.0,757.0,692.0,FG1305,FG
113,FG888,2012-12-17,736.0,52844025700.0,654.0,716.0,1997146.0,744.0,732.0,230150.0,706.0,758.0,716.0,FG1305,FG
114,FG888,2012-12-18,734.0,50064696400.0,679.0,737.0,1888574.0,748.0,734.0,239250.0,732.0,785.0,725.0,FG1305,FG
115,FG888,2012-12-19,760.0,74283228400.0,681.0,733.0,2774384.0,762.0,748.0,419230.0,734.0,787.0,727.0,FG1305,FG
116,FG888,2012-12-20,759.0,69976543200.0,694.0,757.0,2593940.0,765.0,758.0,391226.0,748.0,802.0,751.0,FG1305,FG
117,FG888,2012-12-21,745.0,52507654400.0,704.0,754.0,1961266.0,763.0,748.0,278578.0,758.0,812.0,739.0,FG1305,FG
118,FG888,2012-12-24,753.0,33143462800.0,694.0,745.0,1234044.0,758.0,752.0,279034.0,748.0,802.0,743.0,FG1305,FG
119,FG888,2012-12-25,761.0,42181318500.0,698.0,753.0,1561036.0,772.0,760.0,278818.0,752.0,806.0,748.0,FG1305,FG
120,FG888,2012-12-26,761.0,26872117400.0,705.0,760.0,995884.0,763.0,758.0,252746.0,760.0,815.0,753.0,FG1305,FG
121,FG888,2012-12-27,761.0,26133260300.0,704.0,767.0,963506.0,776.0,765.0,224072.0,758.0,812.0,758.0,FG1305,FG
122,FG888,2012-12-28,760.0,31809691500.0,710.0,762.0,1175326.0,773.0,762.0,189374.0,765.0,820.0,752.0,FG1305,FG
123,FG888,2012-12-31,772.0,13572328600.0,707.0,761.0,500112.0,774.0,766.0,136002.0,762.0,817.0,758.0,FG1305,FG
124,FG888,2013-01-04,834.0,28176864400.0,776.0,780.0,1001748.0,834.0,815.0,241454.0,766.0,834.0,776.0,FG1305,FG
125,FG888,2013-01-07,854.0,45130341800.0,842.0,849.0,1558552.0,877.0,857.0,217758.0,815.0,877.0,842.0,FG1305,FG
126,FG888,2013-01-08,866.0,80083641800.0,799.0,847.0,2761400.0,879.0,859.0,306490.0,857.0,915.0,836.0,FG1305,FG
127,FG888,2013-01-09,885.0,61356156900.0,801.0,868.0,2100312.0,885.0,870.0,444362.0,859.0,917.0,861.0,FG1305,FG
128,FG888,2013-01-10,872.0,67862599000.0,811.0,888.0,2311352.0,893.0,877.0,376812.0,870.0,929.0,865.0,FG1305,FG
129,FG888,2013-01-11,848.0,55332100200.0,818.0,871.0,1916270.0,874.0,853.0,311804.0,877.0,936.0,837.0,FG1305,FG
130,FG888,2013-01-14,911.0,55154481600.0,795.0,847.0,1878770.0,911.0,877.0,508076.0,853.0,911.0,847.0,FG1305,FG
131,FG888,2013-01-15,906.0,90481508800.0,818.0,929.0,3006350.0,936.0,914.0,387356.0,877.0,936.0,899.0,FG1305,FG
132,FG888,2013-01-16,909.0,126343580800.0,853.0,908.0,4239926.0,924.0,899.0,473158.0,914.0,975.0,864.0,FG1305,FG
133,FG888,2013-01-17,915.0,118895480500.0,839.0,912.0,3961892.0,921.0,909.0,538936.0,899.0,959.0,900.0,FG1305,FG
134,FG888,2013-01-18,905.0,116243860500.0,849.0,929.0,3867610.0,930.0,912.0,431672.0,909.0,969.0,897.0,FG1305,FG
135,FG888,2013-01-21,910.0,96924200200.0,851.0,904.0,3225458.0,927.0,911.0,478024.0,912.0,973.0,893.0,FG1305,FG
136,FG888,2013-01-22,899.0,91748235600.0,850.0,914.0,3070314.0,917.0,903.0,401292.0,911.0,972.0,884.0,FG1305,FG
137,FG888,2013-01-23,890.0,60862703900.0,843.0,901.0,2053414.0,905.0,891.0,401822.0,903.0,963.0,881.0,FG1305,FG
138,FG888,2013-01-24,876.0,69141543800.0,831.0,888.0,2346462.0,898.0,882.0,367110.0,891.0,951.0,867.0,FG1305,FG
139,FG888,2013-01-25,878.0,38267074400.0,823.0,879.0,1305300.0,881.0,875.0,315722.0,882.0,941.0,868.0,FG1305,FG
140,FG888,2013-01-28,900.0,37836929400.0,816.0,880.0,1274788.0,905.0,893.0,341564.0,875.0,934.0,877.0,FG1305,FG
141,FG888,2013-01-29,897.0,13003531200.0,833.0,896.0,436820.0,903.0,897.0,299958.0,893.0,953.0,892.0,FG1305,FG
142,FG888,2013-01-30,895.0,39328931600.0,828.0,901.0,1240592.0,907.0,901.0,390976.0,804.0,954.0,894.0,FG1309,FG
143,FG888,2013-01-31,901.0,78101339800.0,837.0,894.0,2457828.0,917.0,905.0,457056.0,901.0,965.0,893.0,FG1309,FG
144,FG888,2013-02-01,910.0,46310688400.0,841.0,901.0,1459170.0,912.0,903.0,405030.0,905.0,969.0,896.0,FG1309,FG
145,FG888,2013-02-04,948.0,78191458100.0,839.0,915.0,2402600.0,965.0,943.0,465844.0,903.0,967.0,910.0,FG1309,FG
146,FG888,2013-02-05,951.0,60947454900.0,877.0,944.0,1865628.0,962.0,949.0,476782.0,943.0,1009.0,940.0,FG1309,FG
147,FG888,2013-02-06,945.0,61047794300.0,883.0,955.0,1863392.0,968.0,954.0,468858.0,949.0,1015.0,940.0,FG1309,FG
148,FG888,2013-02-07,939.0,41401389000.0,888.0,947.0,1279512.0,949.0,934.0,397408.0,954.0,1020.0,922.0,FG1309,FG
149,FG888,2013-02-08,950.0,22999984000.0,869.0,936.0,706434.0,951.0,944.0,350360.0,934.0,999.0,934.0,FG1309,FG
150,FG888,2013-02-18,923.0,44640083200.0,878.0,947.0,1376256.0,959.0,938.0,450892.0,944.0,1010.0,922.0,FG1309,FG
151,FG888,2013-02-19,930.0,52356741500.0,873.0,922.0,1627348.0,932.0,925.0,512196.0,938.0,1003.0,913.0,FG1309,FG
152,FG888,2013-02-20,926.0,43701322500.0,860.0,935.0,1355640.0,938.0,928.0,552484.0,925.0,990.0,917.0,FG1309,FG
153,FG888,2013-02-21,874.0,73900229500.0,863.0,907.0,2360254.0,911.0,882.0,502946.0,928.0,993.0,865.0,FG1309,FG
154,FG888,2013-02-22,869.0,73088790600.0,819.0,874.0,2350730.0,885.0,871.0,517796.0,882.0,945.0,855.0,FG1309,FG
155,FG888,2013-02-25,875.0,72347108800.0,808.0,866.0,2320596.0,890.0,875.0,538436.0,871.0,934.0,848.0,FG1309,FG
156,FG888,2013-02-26,852.0,73302333000.0,812.0,864.0,2365400.0,880.0,865.0,586884.0,875.0,938.0,848.0,FG1309,FG
157,FG888,2013-02-27,874.0,65778467700.0,803.0,864.0,2115598.0,878.0,871.0,564882.0,865.0,927.0,859.0,FG1309,FG
158,FG888,2013-02-28,898.0,49574345000.0,808.0,882.0,1573926.0,903.0,891.0,544704.0,871.0,934.0,881.0,FG1309,FG
159,FG888,2013-03-01,884.0,57722621900.0,828.0,896.0,1843832.0,897.0,881.0,519900.0,891.0,954.0,866.0,FG1309,FG
160,FG888,2013-03-04,834.0,89689286000.0,818.0,873.0,2940802.0,880.0,841.0,593688.0,881.0,944.0,818.0,FG1309,FG
161,FG888,2013-03-05,843.0,84887773400.0,780.0,840.0,2793004.0,848.0,836.0,596258.0,841.0,902.0,820.0,FG1309,FG
162,FG888,2013-03-06,841.0,66062189300.0,775.0,846.0,2162826.0,857.0,843.0,578546.0,836.0,897.0,834.0,FG1309,FG
163,FG888,2013-03-07,834.0,53080074100.0,781.0,837.0,1751892.0,837.0,831.0,566174.0,843.0,905.0,824.0,FG1309,FG
164,FG888,2013-03-08,820.0,83289050600.0,770.0,840.0,2770430.0,844.0,819.0,561120.0,831.0,892.0,801.0,FG1309,FG
165,FG888,2013-03-11,812.0,66785898300.0,758.0,819.0,2231190.0,824.0,813.0,572414.0,819.0,880.0,799.0,FG1309,FG
166,FG888,2013-03-12,803.0,71189817400.0,753.0,816.0,2384956.0,821.0,808.0,497148.0,813.0,873.0,797.0,FG1309,FG
167,FG888,2013-03-13,765.0,85623803300.0,748.0,809.0,2935302.0,809.0,775.0,494998.0,808.0,868.0,754.0,FG1309,FG
168,FG888,2013-03-14,752.0,83934587200.0,716.0,755.0,2939374.0,759.0,744.0,518394.0,775.0,834.0,725.0,FG1309,FG
169,FG888,2013-03-15,767.0,74032688500.0,686.0,758.0,2561908.0,796.0,761.0,435968.0,744.0,802.0,744.0,FG1309,FG
170,FG888,2013-03-18,751.0,57370604300.0,703.0,750.0,1993548.0,769.0,755.0,427578.0,761.0,819.0,736.0,FG1309,FG
171,FG888,2013-03-19,766.0,55497523100.0,697.0,756.0,1920464.0,774.0,761.0,425424.0,755.0,813.0,750.0,FG1309,FG
172,FG888,2013-03-20,792.0,67367243600.0,703.0,761.0,2296732.0,794.0,783.0,504850.0,761.0,819.0,761.0,FG1309,FG
173,FG888,2013-03-21,800.0,71131267700.0,724.0,798.0,2395846.0,809.0,800.0,488780.0,783.0,842.0,794.0,FG1309,FG
174,FG888,2013-03-22,795.0,37535401600.0,740.0,794.0,1267666.0,805.0,796.0,449676.0,800.0,860.0,789.0,FG1309,FG
175,FG888,2013-03-25,800.0,26535738300.0,736.0,799.0,892888.0,808.0,802.0,437400.0,796.0,856.0,797.0,FG1309,FG
176,FG888,2013-03-26,774.0,43358028400.0,742.0,797.0,1482032.0,800.0,779.0,471232.0,802.0,862.0,768.0,FG1309,FG
177,FG888,2013-03-27,771.0,27423062300.0,720.0,779.0,940674.0,781.0,774.0,461902.0,779.0,838.0,769.0,FG1309,FG
178,FG888,2013-03-28,756.0,34251263500.0,715.0,771.0,1185044.0,776.0,761.0,454132.0,774.0,833.0,753.0,FG1309,FG
179,FG888,2013-03-29,753.0,31820168200.0,703.0,746.0,1111102.0,759.0,748.0,415190.0,761.0,819.0,731.0,FG1309,FG
180,FG888,2013-04-01,720.0,48434564600.0,690.0,748.0,1710124.0,753.0,732.0,441440.0,748.0,806.0,716.0,FG1309,FG
181,FG888,2013-04-02,742.0,37313816500.0,675.0,719.0,1322010.0,743.0,727.0,406240.0,732.0,789.0,713.0,FG1309,FG
182,FG888,2013-04-03,745.0,36841675700.0,670.0,740.0,1287678.0,757.0,747.0,392332.0,727.0,784.0,737.0,FG1309,FG
183,FG888,2013-04-08,757.0,27563072500.0,689.0,728.0,964570.0,760.0,745.0,434648.0,747.0,805.0,726.0,FG1309,FG
184,FG888,2013-04-09,765.0,33274322900.0,687.0,762.0,1150222.0,770.0,762.0,450938.0,745.0,803.0,755.0,FG1309,FG
185,FG888,2013-04-10,746.0,34752871800.0,704.0,768.0,1208702.0,770.0,754.0,431576.0,762.0,820.0,741.0,FG1309,FG
186,FG888,2013-04-11,732.0,39711922600.0,696.0,746.0,1389400.0,760.0,745.0,451520.0,754.0,812.0,730.0,FG1309,FG
187,FG888,2013-04-12,736.0,37889410500.0,687.0,729.0,1333776.0,743.0,736.0,418380.0,745.0,803.0,729.0,FG1309,FG
188,FG888,2013-04-15,709.0,77664181600.0,679.0,722.0,2773348.0,742.0,716.0,510630.0,736.0,793.0,692.0,FG1309,FG
189,FG888,2013-04-16,717.0,55471435900.0,660.0,696.0,1999762.0,721.0,703.0,479124.0,716.0,772.0,681.0,FG1309,FG
190,FG888,2013-04-17,656.0,103132133700.0,647.0,719.0,3793658.0,727.0,675.0,613498.0,703.0,759.0,647.0,FG1309,FG
191,FG888,2013-04-18,667.0,82603697600.0,620.0,644.0,3074468.0,678.0,659.0,575698.0,675.0,730.0,634.0,FG1309,FG
192,FG888,2013-04-19,690.0,71466676300.0,605.0,677.0,2622644.0,696.0,678.0,552672.0,659.0,713.0,665.0,FG1309,FG
193,FG888,2013-04-22,678.0,60823332800.0,623.0,687.0,2222452.0,702.0,684.0,565350.0,678.0,733.0,675.0,FG1309,FG
194,FG888,2013-04-23,658.0,62565981400.0,629.0,680.0,2329574.0,687.0,659.0,531992.0,684.0,739.0,646.0,FG1309,FG
195,FG888,2013-04-24,659.0,75654302000.0,605.0,660.0,2833714.0,674.0,651.0,610018.0,659.0,713.0,632.0,FG1309,FG
196,FG888,2013-04-25,668.0,52763299200.0,597.0,662.0,1958966.0,674.0,663.0,578452.0,651.0,705.0,649.0,FG1309,FG
197,FG888,2013-04-26,659.0,50853174200.0,609.0,679.0,1880060.0,687.0,668.0,496800.0,663.0,717.0,652.0,FG1309,FG
198,FG888,2013-05-02,642.0,26499428400.0,613.0,636.0,999400.0,649.0,642.0,539834.0,668.0,723.0,626.0,FG1309,FG
199,FG888,2013-05-03,667.0,52160225900.0,588.0,650.0,1941850.0,673.0,659.0,547594.0,642.0,696.0,642.0,FG1309,FG
200,FG888,2013-05-06,672.0,29876765500.0,605.0,683.0,1099320.0,687.0,675.0,525696.0,659.0,713.0,669.0,FG1309,FG
