,order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,dominant_id,underlying_symbol
103,MA888,2014-06-17,3211.0,60270500.0,2952.0,3225.0,2106.0,3254.0,3219.0,1202.0,3178.0,3404.0,3183.0,MA1506,MA
104,MA888,2014-06-18,3253.0,61101300.0,3104.0,3215.0,2118.0,3259.0,3242.0,2176.0,3219.0,3334.0,3190.0,MA1506,MA
105,MA888,2014-06-19,3258.0,102786800.0,3126.0,3258.0,3532.0,3286.0,3267.0,2956.0,3242.0,3358.0,3247.0,MA1506,MA
106,MA888,2014-06-20,3265.0,43726500.0,3150.0,3262.0,1504.0,3276.0,3264.0,2978.0,3267.0,3384.0,3253.0,MA1506,MA
107,MA888,2014-06-23,3267.0,72379000.0,3147.0,3267.0,2480.0,3307.0,3276.0,2896.0,3264.0,3381.0,3253.0,MA1506,MA
108,MA888,2014-06-24,3296.0,49400700.0,3159.0,3263.0,1690.0,3305.0,3280.0,2962.0,3276.0,3393.0,3260.0,MA1506,MA
109,MA888,2014-06-25,3344.0,128917800.0,3163.0,3298.0,4348.0,3348.0,3322.0,4192.0,3280.0,3397.0,3290.0,MA1506,MA
110,MA888,2014-06-26,3361.0,156740000.0,3203.0,3347.0,5220.0,3377.0,3360.0,3986.0,3322.0,3441.0,3327.0,MA1506,MA
111,MA888,2014-06-27,3344.0,84942000.0,3239.0,3361.0,2840.0,3365.0,3348.0,3986.0,3360.0,3481.0,3335.0,MA1506,MA
112,MA888,2014-06-30,3348.0,90288200.0,3228.0,3340.0,3020.0,3362.0,3347.0,4008.0,3348.0,3468.0,3323.0,MA1506,MA
113,MA888,2014-07-01,3334.0,108715300.0,3227.0,3351.0,3648.0,3359.0,3337.0,4204.0,3347.0,3467.0,3320.0,MA1506,MA
114,MA888,2014-07-02,3322.0,93399800.0,3217.0,3339.0,3150.0,3349.0,3322.0,4358.0,3337.0,3457.0,3268.0,MA1506,MA
115,MA888,2014-07-03,3319.0,57079400.0,3203.0,3315.0,1926.0,3332.0,3321.0,4800.0,3322.0,3441.0,3303.0,MA1506,MA
116,MA888,2014-07-04,3317.0,43060700.0,3202.0,3318.0,1454.0,3329.0,3319.0,4750.0,3321.0,3440.0,3308.0,MA1506,MA
117,MA888,2014-07-07,3369.0,141007800.0,3200.0,3313.0,4722.0,3370.0,3343.0,5804.0,3319.0,3438.0,3311.0,MA1506,MA
118,MA888,2014-07-08,3358.0,183312600.0,3223.0,3370.0,6078.0,3395.0,3373.0,6912.0,3343.0,3463.0,3353.0,MA1506,MA
119,MA888,2014-07-09,3315.0,116614700.0,3252.0,3357.0,3916.0,3360.0,3335.0,6010.0,3373.0,3494.0,3315.0,MA1506,MA
120,MA888,2014-07-10,3294.0,98756800.0,3215.0,3313.0,3352.0,3321.0,3303.0,5446.0,3335.0,3455.0,3288.0,MA1506,MA
121,MA888,2014-07-11,3276.0,68494700.0,3185.0,3297.0,2332.0,3315.0,3294.0,5516.0,3303.0,3421.0,3272.0,MA1506,MA
122,MA888,2014-07-14,3261.0,61183700.0,3176.0,3276.0,2114.0,3283.0,3251.0,5302.0,3294.0,3412.0,3182.0,MA1506,MA
123,MA888,2014-07-15,3257.0,37294200.0,3135.0,3265.0,1286.0,3277.0,3257.0,5498.0,3251.0,3367.0,3239.0,MA1506,MA
124,MA888,2014-07-16,3237.0,32338600.0,3141.0,3262.0,1120.0,3262.0,3244.0,5310.0,3257.0,3373.0,3230.0,MA1506,MA
125,MA888,2014-07-17,3269.0,71858200.0,3128.0,3237.0,2468.0,3289.0,3269.0,5454.0,3244.0,3360.0,3232.0,MA1506,MA
126,MA888,2014-07-18,3223.0,77363300.0,3152.0,3272.0,2680.0,3282.0,3244.0,5132.0,3269.0,3386.0,3199.0,MA1506,MA
127,MA888,2014-07-21,3220.0,29768900.0,3128.0,3223.0,1038.0,3236.0,3225.0,5094.0,3244.0,3360.0,3208.0,MA1506,MA
128,MA888,2014-07-22,3237.0,42925700.0,3110.0,3223.0,1494.0,3247.0,3230.0,4956.0,3225.0,3340.0,3208.0,MA1506,MA
129,MA888,2014-07-23,3230.0,42742000.0,3115.0,3237.0,1484.0,3254.0,3237.0,4870.0,3230.0,3345.0,3192.0,MA1506,MA
130,MA888,2014-07-24,3233.0,30923000.0,3121.0,3232.0,1074.0,3252.0,3236.0,4888.0,3237.0,3353.0,3207.0,MA1506,MA
131,MA888,2014-07-25,3249.0,27097500.0,3120.0,3232.0,940.0,3253.0,3240.0,5000.0,3236.0,3352.0,3229.0,MA1506,MA
132,MA888,2014-07-28,3297.0,63969200.0,3124.0,3254.0,2190.0,3300.0,3278.0,5090.0,3240.0,3356.0,3219.0,MA1506,MA
133,MA888,2014-07-29,3286.0,31983300.0,3161.0,3291.0,1090.0,3305.0,3291.0,4928.0,3278.0,3395.0,3282.0,MA1506,MA
134,MA888,2014-07-30,3289.0,48785300.0,3173.0,3278.0,1670.0,3297.0,3278.0,4874.0,3291.0,3409.0,3260.0,MA1506,MA
135,MA888,2014-07-31,3274.0,30034700.0,3161.0,3278.0,1026.0,3300.0,3284.0,4826.0,3278.0,3395.0,3272.0,MA1506,MA
136,MA888,2014-08-01,3239.0,60582100.0,3166.0,3257.0,2092.0,3269.0,3253.0,4156.0,3284.0,3402.0,3238.0,MA1506,MA
137,MA888,2014-08-04,3258.0,22381100.0,3137.0,3237.0,774.0,3263.0,3249.0,4124.0,3253.0,3369.0,3232.0,MA1506,MA
138,MA888,2014-08-05,3262.0,40681800.0,3133.0,3258.0,1398.0,3276.0,3267.0,4102.0,3249.0,3365.0,3257.0,MA1506,MA
139,MA888,2014-08-06,3246.0,25552240.0,3150.0,3258.0,886.0,3258.0,3241.0,4012.0,3267.0,3384.0,3188.0,MA1506,MA
140,MA888,2014-08-07,3240.0,51022400.0,3125.0,3241.0,1760.0,3345.0,3256.0,3748.0,3241.0,3357.0,3240.0,MA1506,MA
141,MA888,2014-08-08,3292.0,52733800.0,3140.0,3240.0,1812.0,3294.0,3267.0,3946.0,3256.0,3372.0,3240.0,MA1506,MA
142,MA888,2014-08-11,3282.0,48211340.0,3150.0,3289.0,1646.0,3313.0,3286.0,3670.0,3267.0,3384.0,3273.0,MA1506,MA
143,MA888,2014-08-12,3274.0,43841600.0,3168.0,3267.0,1504.0,3294.0,3272.0,3484.0,3286.0,3404.0,3258.0,MA1506,MA
144,MA888,2014-08-13,3347.0,111952760.0,3155.0,3293.0,3748.0,3369.0,3344.0,4054.0,3272.0,3389.0,3290.0,MA1506,MA
145,MA888,2014-08-14,3352.0,67736800.0,3224.0,3346.0,2270.0,3356.0,3341.0,4266.0,3344.0,3464.0,3327.0,MA1506,MA
146,MA888,2014-08-15,3333.0,56205760.0,3221.0,3345.0,1888.0,3355.0,3334.0,4120.0,3341.0,3461.0,3315.0,MA1506,MA
147,MA888,2014-08-18,3335.0,52015200.0,3214.0,3332.0,1748.0,3343.0,3333.0,4214.0,3334.0,3454.0,3318.0,MA1506,MA
148,MA888,2014-08-19,3344.0,94926860.0,3213.0,3331.0,3178.0,3354.0,3344.0,5124.0,3333.0,3453.0,3327.0,MA1506,MA
149,MA888,2014-08-20,3325.0,47876400.0,3224.0,3344.0,1612.0,3344.0,3327.0,4768.0,3344.0,3464.0,3320.0,MA1506,MA
150,MA888,2014-08-21,3321.0,43540200.0,3208.0,3329.0,1466.0,3341.0,3327.0,4554.0,3327.0,3446.0,3317.0,MA1506,MA
151,MA888,2014-08-22,3300.0,45696960.0,3208.0,3320.0,1548.0,3327.0,3309.0,4180.0,3327.0,3446.0,3297.0,MA1506,MA
152,MA888,2014-08-25,3248.0,101174080.0,3190.0,3299.0,3472.0,3302.0,3271.0,4772.0,3309.0,3428.0,3247.0,MA1506,MA
153,MA888,2014-08-26,3197.0,187273700.0,3154.0,3239.0,6566.0,3246.0,3209.0,7042.0,3271.0,3388.0,3189.0,MA1506,MA
154,MA888,2014-08-27,3215.0,99769320.0,3094.0,3197.0,3486.0,3231.0,3219.0,8152.0,3209.0,3324.0,3197.0,MA1506,MA
155,MA888,2014-08-28,3198.0,93195000.0,3104.0,3216.0,3270.0,3230.0,3207.0,8916.0,3219.0,3334.0,3193.0,MA1506,MA
156,MA888,2014-08-29,3183.0,183469200.0,3093.0,3198.0,6506.0,3200.0,3177.0,10786.0,3207.0,3321.0,3150.0,MA1506,MA
157,MA888,2014-09-01,3205.0,97059840.0,3064.0,3182.0,3408.0,3223.0,3205.0,10794.0,3177.0,3290.0,3182.0,MA1506,MA
158,MA888,2014-09-02,3208.0,156702000.0,3091.0,3208.0,5460.0,3318.0,3227.0,10144.0,3205.0,3319.0,3206.0,MA1506,MA
159,MA888,2014-09-03,3207.0,98120520.0,3112.0,3205.0,3438.0,3226.0,3211.0,10314.0,3227.0,3342.0,3193.0,MA1506,MA
160,MA888,2014-09-04,3214.0,71141760.0,3096.0,3212.0,2484.0,3237.0,3221.0,10748.0,3211.0,3326.0,3212.0,MA1506,MA
161,MA888,2014-09-05,3216.0,64249560.0,3106.0,3221.0,2252.0,3223.0,3210.0,10872.0,3221.0,3336.0,3202.0,MA1506,MA
162,MA888,2014-09-09,3209.0,60027120.0,3095.0,3219.0,2104.0,3224.0,3210.0,10698.0,3210.0,3325.0,3199.0,MA1506,MA
163,MA888,2014-09-10,3213.0,110688480.0,3095.0,3200.0,3892.0,3235.0,3201.0,10726.0,3210.0,3325.0,3179.0,MA1506,MA
164,MA888,2014-09-11,3214.0,63803040.0,3087.0,3213.0,2234.0,3223.0,3213.0,10738.0,3201.0,3315.0,3202.0,MA1506,MA
165,MA888,2014-09-12,3180.0,208112180.0,3098.0,3210.0,7346.0,3218.0,3190.0,14262.0,3213.0,3328.0,3172.0,MA1506,MA
166,MA888,2014-09-15,3225.0,204414600.0,3076.0,3168.0,7180.0,3225.0,3204.0,15580.0,3190.0,3304.0,3168.0,MA1506,MA
167,MA888,2014-09-16,3249.0,273419640.0,3090.0,3235.0,9474.0,3264.0,3243.0,16604.0,3204.0,3318.0,3229.0,MA1506,MA
168,MA888,2014-09-17,3269.0,182850300.0,3127.0,3269.0,6290.0,3276.0,3264.0,17764.0,3243.0,3359.0,3247.0,MA1506,MA
169,MA888,2014-09-18,3261.0,124753200.0,3147.0,3267.0,4290.0,3274.0,3265.0,18042.0,3264.0,3381.0,3251.0,MA1506,MA
170,MA888,2014-09-19,3282.0,146457640.0,3148.0,3259.0,5026.0,3285.0,3271.0,18266.0,3265.0,3382.0,3255.0,MA1506,MA
171,MA888,2014-09-22,3277.0,268894080.0,3154.0,3283.0,9234.0,3298.0,3269.0,17722.0,3271.0,3388.0,3254.0,MA1506,MA
172,MA888,2014-09-23,3215.0,357779500.0,3152.0,3277.0,12350.0,3286.0,3254.0,16142.0,3269.0,3386.0,3212.0,MA1506,MA
173,MA888,2014-09-24,3232.0,137224080.0,3138.0,3215.0,4788.0,3247.0,3223.0,16178.0,3254.0,3370.0,3200.0,MA1506,MA
174,MA888,2014-09-25,3229.0,93652020.0,3108.0,3230.0,3262.0,3242.0,3228.0,15848.0,3223.0,3338.0,3218.0,MA1506,MA
175,MA888,2014-09-26,3228.0,131836000.0,3113.0,3225.0,4600.0,3233.0,3223.0,15550.0,3228.0,3343.0,3214.0,MA1506,MA
176,MA888,2014-09-29,3204.0,106020000.0,3108.0,3215.0,3720.0,3217.0,3207.0,16068.0,3223.0,3338.0,3202.0,MA1506,MA
177,MA888,2014-09-30,3232.0,95352480.0,3036.0,3210.0,3312.0,3253.0,3236.0,14814.0,3207.0,3378.0,3210.0,MA1506,MA
178,MA888,2014-10-08,3190.0,79261700.0,3063.0,3226.0,2786.0,3228.0,3202.0,15250.0,3236.0,3409.0,3190.0,MA1506,MA
179,MA888,2014-10-09,3199.0,84048160.0,3088.0,3187.0,2972.0,3207.0,3185.0,15260.0,3202.0,3316.0,3157.0,MA1506,MA
180,MA888,2014-10-10,3108.0,251020080.0,3071.0,3183.0,9036.0,3183.0,3135.0,17516.0,3185.0,3299.0,3091.0,MA1506,MA
181,MA888,2014-10-13,3110.0,183717720.0,3023.0,3108.0,6642.0,3137.0,3123.0,17610.0,3135.0,3247.0,3106.0,MA1506,MA
182,MA888,2014-10-14,3140.0,146039680.0,3012.0,3112.0,5276.0,3145.0,3125.0,17860.0,3123.0,3234.0,3095.0,MA1506,MA
183,MA888,2014-10-15,3136.0,118300200.0,3014.0,3107.0,4260.0,3161.0,3134.0,17308.0,3125.0,3236.0,3100.0,MA1506,MA
184,MA888,2014-10-16,3123.0,164268720.0,3022.0,3128.0,5926.0,3143.0,3129.0,15236.0,3134.0,3246.0,3114.0,MA1506,MA
185,MA888,2014-10-17,3101.0,167990400.0,3018.0,3142.0,6080.0,3158.0,3120.0,13834.0,3129.0,3240.0,3101.0,MA1506,MA
186,MA888,2014-10-20,3067.0,779254160.0,3009.0,3099.0,28628.0,3110.0,3079.0,22498.0,3120.0,3231.0,3054.0,MA1506,MA
187,MA888,2014-10-21,3092.0,305760600.0,2970.0,3061.0,11210.0,3101.0,3085.0,22994.0,3079.0,3188.0,3057.0,MA1506,MA
188,MA888,2014-10-22,3096.0,243491800.0,2975.0,3093.0,8886.0,3114.0,3097.0,21338.0,3085.0,3195.0,3084.0,MA1506,MA
189,MA888,2014-10-23,3130.0,254974600.0,2987.0,3086.0,9248.0,3132.0,3114.0,22538.0,3097.0,3207.0,3077.0,MA1506,MA
190,MA888,2014-10-24,3148.0,505144000.0,3003.0,3132.0,18190.0,3149.0,3134.0,21180.0,3114.0,3225.0,3114.0,MA1506,MA
191,MA888,2014-10-27,3129.0,490640360.0,3022.0,3135.0,17668.0,3155.0,3134.0,17616.0,3134.0,3246.0,3109.0,MA1506,MA
192,MA888,2014-10-28,3127.0,211543680.0,3022.0,3125.0,7648.0,3134.0,3123.0,17878.0,3134.0,3246.0,3115.0,MA1506,MA
193,MA888,2014-10-29,3139.0,167499000.0,3012.0,3134.0,6036.0,3140.0,3132.0,17372.0,3123.0,3234.0,3124.0,MA1506,MA
194,MA888,2014-10-30,3138.0,213355160.0,3021.0,3157.0,7628.0,3187.0,3154.0,16928.0,3132.0,3243.0,3137.0,MA1506,MA
195,MA888,2014-10-31,3126.0,319226820.0,3042.0,3129.0,11562.0,3133.0,3118.0,17390.0,3154.0,3266.0,3107.0,MA1506,MA
196,MA888,2014-11-03,3071.0,456080080.0,3007.0,3125.0,16694.0,3125.0,3089.0,21546.0,3118.0,3229.0,3061.0,MA1506,MA
197,MA888,2014-11-04,3062.0,366174000.0,2979.0,3039.0,13562.0,3074.0,3057.0,23038.0,3089.0,3199.0,3036.0,MA1506,MA
198,MA888,2014-11-05,3021.0,451433000.0,2949.0,3059.0,16876.0,3068.0,3032.0,25936.0,3057.0,3165.0,3013.0,MA1506,MA
199,MA888,2014-11-06,2985.0,852254880.0,2925.0,3032.0,32504.0,3034.0,2979.0,27404.0,3032.0,3139.0,2949.0,MA1506,MA
200,MA888,2014-11-07,2958.0,695804280.0,2874.0,2981.0,26772.0,2981.0,2956.0,31182.0,2979.0,3084.0,2942.0,MA1506,MA
201,MA888,2014-11-10,2985.0,554920080.0,2852.0,2960.0,21164.0,2997.0,2979.0,31724.0,2956.0,3060.0,2953.0,MA1506,MA
202,MA888,2014-11-11,2996.0,496395900.0,2874.0,2973.0,18810.0,3010.0,2996.0,32746.0,2979.0,3084.0,2970.0,MA1506,MA
203,MA888,2014-11-12,3037.0,558999360.0,2890.0,3007.0,20952.0,3040.0,3025.0,33578.0,2996.0,3102.0,2999.0,MA1506,MA
204,MA888,2014-11-13,3035.0,537873600.0,2918.0,3117.0,20040.0,3117.0,3041.0,34394.0,3025.0,3132.0,3017.0,MA1506,MA
