,order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,dominant_id,underlying_symbol
103,NI888,2015-03-27,101480.0,2920131360.0,92260.0,102270.0,28860.0,103110.0,101580.0,14364.0,102470.0,112670.0,101050.0,NI1507,NI
104,NI888,2015-03-30,98830.0,6561517580.0,96520.0,99410.0,66684.0,100400.0,98790.0,34186.0,101580.0,106630.0,97220.0,NI1507,NI
105,NI888,2015-03-31,95440.0,10132749100.0,93870.0,98400.0,105600.0,98600.0,96350.0,54888.0,98790.0,103700.0,94240.0,NI1507,NI
106,NI888,2015-04-01,92900.0,14763384880.0,91550.0,94340.0,158952.0,94530.0,93270.0,70960.0,96350.0,101140.0,91670.0,NI1507,NI
107,NI888,2015-04-02,96560.0,19133868120.0,88620.0,93270.0,202848.0,97000.0,94720.0,80724.0,93270.0,97910.0,92950.0,NI1507,NI
108,NI888,2015-04-03,97700.0,14507032860.0,90000.0,96400.0,150282.0,98200.0,96930.0,80998.0,94720.0,99430.0,96060.0,NI1507,NI
109,NI888,2015-04-07,96820.0,7326581280.0,92100.0,97900.0,75688.0,98380.0,97190.0,83542.0,96930.0,101750.0,96350.0,NI1507,NI
110,NI888,2015-04-08,94350.0,17293078180.0,92350.0,94900.0,183088.0,96030.0,94850.0,95102.0,97190.0,102020.0,93700.0,NI1507,NI
111,NI888,2015-04-09,94700.0,15213335440.0,90120.0,94850.0,160974.0,95660.0,94900.0,99084.0,94850.0,99570.0,94280.0,NI1507,NI
112,NI888,2015-04-10,94940.0,12958090320.0,90170.0,94900.0,137722.0,95370.0,94480.0,105628.0,94900.0,99620.0,93580.0,NI1507,NI
113,NI888,2015-04-13,95630.0,17070951160.0,89770.0,94680.0,180214.0,96070.0,95120.0,112858.0,94480.0,99180.0,94100.0,NI1507,NI
114,NI888,2015-04-14,93500.0,18668818800.0,90380.0,95180.0,199150.0,95470.0,94140.0,127690.0,95120.0,99850.0,93210.0,NI1507,NI
115,NI888,2015-04-15,95130.0,20684490820.0,89450.0,93100.0,220106.0,95400.0,94370.0,132258.0,94140.0,98820.0,93040.0,NI1507,NI
116,NI888,2015-04-16,95800.0,18630685860.0,89670.0,95010.0,195920.0,96300.0,95490.0,131624.0,94370.0,99060.0,94660.0,NI1507,NI
117,NI888,2015-04-17,96250.0,16179695700.0,90730.0,96680.0,168702.0,97060.0,96300.0,127284.0,95490.0,100240.0,95410.0,NI1507,NI
118,NI888,2015-04-20,95810.0,14205527920.0,91500.0,96380.0,148104.0,96950.0,96310.0,116410.0,96300.0,101090.0,95600.0,NI1507,NI
119,NI888,2015-04-21,96280.0,13516812120.0,91510.0,95730.0,140930.0,97200.0,96310.0,110552.0,96310.0,101100.0,95300.0,NI1507,NI
120,NI888,2015-04-22,96730.0,11927447100.0,91510.0,96310.0,123902.0,97120.0,96660.0,110516.0,96310.0,101100.0,96150.0,NI1507,NI
121,NI888,2015-04-23,96260.0,9717082700.0,91840.0,96520.0,101066.0,96900.0,96540.0,110646.0,96660.0,101470.0,96000.0,NI1507,NI
122,NI888,2015-04-24,98230.0,11423428240.0,91730.0,96240.0,118180.0,98300.0,97060.0,113816.0,96540.0,101340.0,96100.0,NI1507,NI
123,NI888,2015-04-27,101890.0,24213048060.0,92220.0,98400.0,241904.0,101890.0,100490.0,116290.0,97060.0,101890.0,98390.0,NI1507,NI
124,NI888,2015-04-28,103050.0,29461804940.0,92480.0,102890.0,285722.0,104930.0,103510.0,111958.0,100490.0,108490.0,101820.0,NI1507,NI
125,NI888,2015-04-29,101420.0,32539213280.0,98350.0,102750.0,317634.0,104800.0,102840.0,111334.0,103510.0,108660.0,100900.0,NI1507,NI
126,NI888,2015-04-30,106410.0,57528039400.0,97710.0,101590.0,552750.0,107380.0,104470.0,125970.0,102840.0,107960.0,101560.0,NI1507,NI
127,NI888,2015-05-04,107980.0,29838812200.0,99260.0,106410.0,278844.0,109300.0,107400.0,128702.0,104470.0,109670.0,105850.0,NI1507,NI
128,NI888,2015-05-05,108360.0,55971044640.0,102050.0,108250.0,518266.0,109630.0,108390.0,133626.0,107400.0,112750.0,106560.0,NI1507,NI
129,NI888,2015-05-06,113780.0,68272147540.0,102990.0,110400.0,609024.0,113780.0,112500.0,134182.0,108390.0,113780.0,110090.0,NI1507,NI
130,NI888,2015-05-07,112900.0,109473488720.0,103530.0,114980.0,969052.0,115700.0,113360.0,123678.0,112500.0,121460.0,111450.0,NI1507,NI
131,NI888,2015-05-08,112700.0,98223705660.0,107710.0,114100.0,878416.0,114500.0,112210.0,118556.0,113360.0,119000.0,110400.0,NI1507,NI
132,NI888,2015-05-11,114280.0,81949666140.0,106610.0,112210.0,728054.0,114830.0,112950.0,128054.0,112210.0,117800.0,111460.0,NI1507,NI
133,NI888,2015-05-12,112000.0,98739324860.0,107320.0,113700.0,871696.0,115460.0,113670.0,126536.0,112950.0,118570.0,111670.0,NI1507,NI
134,NI888,2015-05-13,112150.0,84443031000.0,108000.0,112680.0,752614.0,114050.0,112590.0,123868.0,113670.0,119330.0,111180.0,NI1507,NI
135,NI888,2015-05-14,109800.0,83494355120.0,106980.0,112500.0,760542.0,112500.0,110180.0,121384.0,112590.0,118190.0,107460.0,NI1507,NI
136,NI888,2015-05-15,110610.0,66687748000.0,104690.0,109380.0,609290.0,111360.0,109850.0,130696.0,110180.0,115660.0,108940.0,NI1507,NI
137,NI888,2015-05-18,109010.0,59398374380.0,104370.0,109790.0,544094.0,110090.0,109560.0,121292.0,109850.0,115320.0,108600.0,NI1507,NI
138,NI888,2015-05-19,106830.0,50322375660.0,104100.0,108700.0,467078.0,109290.0,108130.0,116362.0,109560.0,115010.0,106560.0,NI1507,NI
139,NI888,2015-05-20,102740.0,33034435840.0,102740.0,105900.0,318956.0,106390.0,103970.0,107676.0,108130.0,113510.0,102740.0,NI1507,NI
140,NI888,2015-05-21,101470.0,48728888540.0,95680.0,100890.0,480198.0,102950.0,101870.0,106184.0,103970.0,112250.0,100570.0,NI1507,NI
141,NI888,2015-05-22,100470.0,75402595400.0,96790.0,101360.0,741862.0,103770.0,102030.0,109808.0,101870.0,106940.0,97110.0,NI1507,NI
142,NI888,2015-05-25,99880.0,60820194800.0,96940.0,99300.0,610232.0,100980.0,100060.0,114898.0,102030.0,107110.0,98510.0,NI1507,NI
143,NI888,2015-05-26,100410.0,55614655160.0,95070.0,100070.0,550278.0,102300.0,101460.0,115194.0,100060.0,105040.0,100060.0,NI1507,NI
144,NI888,2015-05-27,101070.0,40796054720.0,96400.0,100390.0,406048.0,101580.0,100870.0,119564.0,101460.0,106510.0,99600.0,NI1507,NI
145,NI888,2015-05-28,101530.0,55192386040.0,95840.0,100820.0,545222.0,102440.0,101620.0,116488.0,100870.0,105890.0,100800.0,NI1507,NI
146,NI888,2015-05-29,99660.0,19234827540.0,96240.0,101200.0,196314.0,101730.0,100030.0,144488.0,103280.0,106150.0,98310.0,NI1509,NI
147,NI888,2015-06-01,98870.0,16686950720.0,95130.0,99560.0,171826.0,99860.0,99170.0,156872.0,100030.0,104920.0,98420.0,NI1509,NI
148,NI888,2015-06-02,102340.0,42467053920.0,94310.0,99250.0,428588.0,102560.0,101140.0,179364.0,99170.0,104020.0,99080.0,NI1509,NI
149,NI888,2015-06-03,101120.0,41021893920.0,96180.0,102440.0,409252.0,103160.0,102290.0,191776.0,101140.0,106090.0,101100.0,NI1509,NI
150,NI888,2015-06-04,100590.0,36942887480.0,97270.0,101260.0,373158.0,102000.0,101060.0,193186.0,102290.0,107300.0,99750.0,NI1509,NI
151,NI888,2015-06-05,100450.0,34555990860.0,96110.0,100710.0,349670.0,101540.0,100880.0,203496.0,101060.0,106010.0,100120.0,NI1509,NI
152,NI888,2015-06-08,102630.0,49076885420.0,95930.0,100810.0,493720.0,102660.0,101460.0,217446.0,100880.0,105820.0,100390.0,NI1509,NI
153,NI888,2015-06-09,102970.0,61129859080.0,96490.0,102910.0,602556.0,104240.0,103510.0,214594.0,101460.0,106430.0,102720.0,NI1509,NI
154,NI888,2015-06-10,103390.0,40344371440.0,98430.0,103420.0,398440.0,103830.0,103310.0,210380.0,103510.0,108580.0,102630.0,NI1509,NI
155,NI888,2015-06-11,103560.0,32924342540.0,98240.0,103910.0,323762.0,104260.0,103750.0,201518.0,103310.0,108370.0,103360.0,NI1509,NI
156,NI888,2015-06-12,100130.0,48380789440.0,98660.0,103660.0,485268.0,103700.0,101750.0,199864.0,103750.0,108830.0,99860.0,NI1509,NI
157,NI888,2015-06-15,99640.0,30903125080.0,96760.0,100460.0,314750.0,100940.0,100240.0,206642.0,101750.0,106730.0,99460.0,NI1509,NI
158,NI888,2015-06-16,97760.0,37434912560.0,95330.0,99460.0,386062.0,100110.0,99020.0,213938.0,100240.0,105140.0,97400.0,NI1509,NI
159,NI888,2015-06-17,97340.0,38216563980.0,94170.0,98060.0,399972.0,98420.0,97600.0,212964.0,99020.0,103860.0,96760.0,NI1509,NI
160,NI888,2015-06-18,98360.0,31519861180.0,92820.0,98360.0,327414.0,98870.0,98320.0,203154.0,97600.0,102370.0,97890.0,NI1509,NI
161,NI888,2015-06-19,96670.0,30068622520.0,93500.0,98080.0,314640.0,98240.0,97620.0,215276.0,98320.0,103130.0,96500.0,NI1509,NI
162,NI888,2015-06-23,97110.0,14984696740.0,92840.0,96340.0,157974.0,97390.0,96910.0,218968.0,97620.0,102390.0,96160.0,NI1509,NI
163,NI888,2015-06-24,98450.0,32214058820.0,92160.0,97570.0,335618.0,98760.0,98040.0,215434.0,96910.0,101650.0,97410.0,NI1509,NI
164,NI888,2015-06-25,96910.0,31824788240.0,93240.0,98070.0,333244.0,98280.0,97550.0,220876.0,98040.0,102830.0,96860.0,NI1509,NI
165,NI888,2015-06-26,95910.0,47729822900.0,92770.0,96820.0,506474.0,97230.0,96290.0,222276.0,97550.0,102320.0,95080.0,NI1509,NI
166,NI888,2015-06-29,92420.0,56853171240.0,91570.0,95710.0,618386.0,95740.0,93990.0,231122.0,96290.0,101000.0,91570.0,NI1509,NI
167,NI888,2015-06-30,89390.0,42214190480.0,89390.0,90940.0,479454.0,91470.0,90100.0,235210.0,93990.0,98580.0,89390.0,NI1509,NI
168,NI888,2015-07-01,90420.0,62932140140.0,83050.0,89390.0,711488.0,92040.0,90510.0,216384.0,90100.0,97140.0,88740.0,NI1509,NI
169,NI888,2015-07-02,91510.0,57911249940.0,86080.0,90060.0,651868.0,91940.0,90890.0,206510.0,90510.0,94930.0,89630.0,NI1509,NI
170,NI888,2015-07-03,91300.0,47604259300.0,86440.0,91910.0,530356.0,92730.0,91810.0,192048.0,90890.0,95330.0,90140.0,NI1509,NI
171,NI888,2015-07-06,87590.0,43504849240.0,87320.0,91160.0,497774.0,91400.0,89450.0,193608.0,91810.0,96290.0,87320.0,NI1509,NI
