,order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,dominant_id,underlying_symbol
103,PB888,2011-03-24,15505.0,35060743000.0,12715.0,15800.0,73440.0,16140.0,15665.0,9696.0,14920.0,17120.0,15400.0,PB1109,PB
104,PB888,2011-03-25,15520.0,11804668500.0,14515.0,15505.0,24858.0,15705.0,15565.0,8494.0,15665.0,16810.0,15430.0,PB1109,PB
105,PB888,2011-03-28,15175.0,7962261500.0,14425.0,15470.0,16960.0,15605.0,15345.0,8262.0,15565.0,16700.0,15070.0,PB1109,PB
106,PB888,2011-03-29,15245.0,4947755250.0,14215.0,15100.0,10618.0,15305.0,15205.0,7968.0,15345.0,16470.0,15055.0,PB1109,PB
107,PB888,2011-03-30,15330.0,3792135500.0,14085.0,15370.0,8086.0,15420.0,15325.0,7320.0,15205.0,16320.0,15265.0,PB1109,PB
108,PB888,2011-03-31,15235.0,1424873500.0,14195.0,15270.0,3056.0,15290.0,15220.0,6776.0,15325.0,16450.0,15150.0,PB1109,PB
109,PB888,2011-04-01,15210.0,1189956250.0,14100.0,15350.0,2550.0,15350.0,15235.0,6716.0,15220.0,16335.0,15140.0,PB1109,PB
110,PB888,2011-04-06,15790.0,7347376250.0,14115.0,15245.0,15400.0,15930.0,15650.0,9362.0,15235.0,16350.0,15245.0,PB1109,PB
111,PB888,2011-04-07,15645.0,4988211000.0,14505.0,15770.0,10426.0,15870.0,15705.0,8644.0,15650.0,16790.0,15605.0,PB1109,PB
112,PB888,2011-04-08,15745.0,4037203500.0,14555.0,15660.0,8434.0,15820.0,15715.0,9388.0,15705.0,16850.0,15575.0,PB1109,PB
113,PB888,2011-04-11,15780.0,6721270250.0,14565.0,15820.0,13938.0,16010.0,15855.0,10242.0,15715.0,16860.0,15715.0,PB1109,PB
114,PB888,2011-04-12,15370.0,4386907000.0,14695.0,15570.0,9256.0,15695.0,15525.0,9154.0,15855.0,17010.0,15360.0,PB1109,PB
115,PB888,2011-04-13,15285.0,2594888000.0,14385.0,15180.0,5566.0,15315.0,15215.0,8776.0,15525.0,16660.0,15110.0,PB1109,PB
