,trading_date,volume,prev_settlement,limit_down,low,total_turnover,open,high,settlement,limit_up,close,open_interest,dominant_id,order_book_id,underlying_symbol
0,2022-02-07,87705.0,7680.0,6988.0,7882.0,3485396700.0,7898.0,8006.0,7948.0,8372.0,7946.0,103755.0,PF2205,PF888,PF
1,2022-02-08,115319.0,7948.0,7390.0,7914.0,4594308960.0,7932.0,8020.0,7968.0,8506.0,7954.0,107796.0,PF2205,PF888,PF
2,2022-02-09,138525.0,7968.0,7410.0,7736.0,5401089750.0,7802.0,7868.0,7798.0,8526.0,7750.0,107212.0,PF2205,PF888,PF
3,2022-02-10,100483.0,7798.0,7252.0,7664.0,3875629310.0,7750.0,7776.0,7714.0,8344.0,7730.0,109909.0,PF2205,PF888,PF
4,2022-02-11,151949.0,7714.0,7174.0,7600.0,5874348340.0,7772.0,7840.0,7732.0,8254.0,7604.0,113286.0,PF2205,PF888,PF
5,2022-02-14,125264.0,7732.0,7190.0,7606.0,4848969440.0,7694.0,7852.0,7742.0,8274.0,7774.0,112675.0,PF2205,PF888,PF
6,2022-02-15,143842.0,7742.0,7200.0,7580.0,5513463860.0,7700.0,7772.0,7666.0,8284.0,7708.0,112398.0,PF2205,PF888,PF
7,2022-02-16,177132.0,7666.0,7128.0,7410.0,6633593400.0,7560.0,7588.0,7490.0,8204.0,7442.0,120595.0,PF2205,PF888,PF
8,2022-02-17,143504.0,7490.0,6964.0,7168.0,5276642080.0,7468.0,7490.0,7354.0,8016.0,7320.0,115892.0,PF2205,PF888,PF
9,2022-02-18,114334.0,7354.0,6838.0,7264.0,4188054420.0,7336.0,7408.0,7326.0,7870.0,7356.0,113398.0,PF2205,PF888,PF
10,2022-02-21,103755.0,7326.0,6812.0,7292.0,3808846050.0,7300.0,7400.0,7342.0,7840.0,7330.0,112258.0,PF2205,PF888,PF
11,2022-02-22,111617.0,7342.0,6828.0,7328.0,4153268570.0,7342.0,7524.0,7442.0,7856.0,7442.0,113253.0,PF2205,PF888,PF
12,2022-02-23,105526.0,7442.0,6920.0,7316.0,3891798880.0,7438.0,7448.0,7376.0,7964.0,7370.0,119848.0,PF2205,PF888,PF
13,2022-02-24,149012.0,7376.0,6858.0,7364.0,5611791920.0,7386.0,7720.0,7532.0,7894.0,7688.0,120454.0,PF2205,PF888,PF
14,2022-02-25,193416.0,7532.0,7004.0,7532.0,7429108560.0,7750.0,7874.0,7682.0,8060.0,7612.0,112749.0,PF2205,PF888,PF
15,2022-02-28,148509.0,7682.0,7144.0,7374.0,5555721690.0,7612.0,7612.0,7482.0,8220.0,7476.0,114110.0,PF2205,PF888,PF
16,2022-03-01,110781.0,7482.0,6958.0,7418.0,4152071880.0,7438.0,7598.0,7496.0,8006.0,7590.0,112336.0,PF2205,PF888,PF
17,2022-03-02,181718.0,7496.0,6970.0,7630.0,7074281740.0,7718.0,7930.0,7786.0,8022.0,7868.0,117344.0,PF2205,PF888,PF
18,2022-03-03,220686.0,7786.0,7240.0,7834.0,8858336040.0,7894.0,8242.0,8028.0,8332.0,8174.0,123018.0,PF2205,PF888,PF
19,2022-03-04,218961.0,8028.0,7466.0,7856.0,8714647800.0,8132.0,8158.0,7960.0,8590.0,7914.0,118318.0,PF2205,PF888,PF
20,2022-03-07,188880.0,7960.0,7402.0,7918.0,7711970400.0,7960.0,8494.0,8166.0,8518.0,8324.0,124345.0,PF2205,PF888,PF
21,2022-03-08,248154.0,8166.0,7594.0,7966.0,10087460100.0,8256.0,8256.0,8130.0,8738.0,8164.0,117585.0,PF2205,PF888,PF
22,2022-03-09,232967.0,8130.0,7560.0,8088.0,9756657960.0,8140.0,8552.0,8376.0,8700.0,8480.0,126013.0,PF2205,PF888,PF
23,2022-03-10,246910.0,8376.0,7788.0,7850.0,9965287600.0,8260.0,8310.0,8072.0,8964.0,7950.0,109379.0,PF2205,PF888,PF
24,2022-03-11,213316.0,8072.0,7506.0,7816.0,8511308400.0,8036.0,8146.0,7980.0,8638.0,7918.0,102485.0,PF2205,PF888,PF
25,2022-03-14,127198.0,7980.0,7420.0,7714.0,4973441800.0,7916.0,7920.0,7820.0,8540.0,7718.0,102484.0,PF2205,PF888,PF
26,2022-03-15,149682.0,7820.0,7272.0,7462.0,5675941440.0,7686.0,7716.0,7584.0,8368.0,7464.0,95942.0,PF2205,PF888,PF
27,2022-03-16,151652.0,7584.0,7052.0,7360.0,5650553520.0,7440.0,7558.0,7452.0,8116.0,7528.0,103118.0,PF2205,PF888,PF
28,2022-03-17,128187.0,7452.0,6930.0,7400.0,4792911930.0,7528.0,7598.0,7478.0,7974.0,7470.0,100944.0,PF2205,PF888,PF
29,2022-03-18,146225.0,7478.0,6954.0,7538.0,5593106250.0,7590.0,7776.0,7650.0,8002.0,7742.0,102240.0,PF2205,PF888,PF
30,2022-03-21,118586.0,7650.0,7114.0,7644.0,4589278200.0,7670.0,7860.0,7740.0,8186.0,7742.0,104453.0,PF2205,PF888,PF
31,2022-03-22,109828.0,7740.0,7198.0,7726.0,4288783400.0,7762.0,7892.0,7810.0,8282.0,7806.0,108633.0,PF2205,PF888,PF
32,2022-03-23,130856.0,7810.0,7262.0,7630.0,5049733040.0,7760.0,7796.0,7718.0,8358.0,7752.0,110995.0,PF2205,PF888,PF
33,2022-03-24,119319.0,7718.0,7176.0,7770.0,4684463940.0,7860.0,7932.0,7852.0,8260.0,7772.0,109223.0,PF2205,PF888,PF
34,2022-03-25,147821.0,7852.0,7302.0,7710.0,5791626780.0,7800.0,7958.0,7836.0,8402.0,7942.0,111828.0,PF2205,PF888,PF
