,trading_date,volume,prev_settlement,limit_down,low,total_turnover,open,high,settlement,limit_up,close,open_interest,dominant_id,order_book_id,underlying_symbol
0,2022-02-07,488748.0,2857.0,2571.0,2873.0,28875231840.0,2926.0,3004.0,2954.0,3143.0,2968.0,392188.0,SA2205,SA888,SA
1,2022-02-08,672681.0,2954.0,2717.0,2938.0,40037973120.0,2959.0,3009.0,2976.0,3191.0,2987.0,424263.0,SA2205,SA888,SA
2,2022-02-09,846352.0,2976.0,2737.0,2911.0,49900913920.0,2977.0,2983.0,2948.0,3215.0,2957.0,446759.0,SA2205,SA888,SA
3,2022-02-10,1222354.0,2948.0,2712.0,2926.0,74636935240.0,2953.0,3177.0,3053.0,3184.0,3125.0,566788.0,SA2205,SA888,SA
4,2022-02-11,1379897.0,3053.0,2808.0,2958.0,84725675800.0,3137.0,3155.0,3070.0,3298.0,2973.0,540516.0,SA2205,SA888,SA
5,2022-02-14,1638250.0,3070.0,2824.0,2868.0,96099745000.0,2991.0,2992.0,2933.0,3316.0,2954.0,538977.0,SA2205,SA888,SA
6,2022-02-15,1614468.0,2933.0,2698.0,2778.0,91863229200.0,2930.0,2930.0,2845.0,3168.0,2867.0,514267.0,SA2205,SA888,SA
7,2022-02-16,1135304.0,2845.0,2617.0,2848.0,65893044160.0,2866.0,2956.0,2902.0,3073.0,2912.0,494928.0,SA2205,SA888,SA
8,2022-02-17,1289792.0,2902.0,2669.0,2754.0,72976431360.0,2918.0,2918.0,2829.0,3135.0,2756.0,489390.0,SA2205,SA888,SA
9,2022-02-18,1029289.0,2829.0,2602.0,2725.0,57413740420.0,2735.0,2845.0,2789.0,3056.0,2803.0,451614.0,SA2205,SA888,SA
10,2022-02-21,1204344.0,2789.0,2565.0,2782.0,68117696640.0,2808.0,2919.0,2828.0,3013.0,2912.0,509685.0,SA2205,SA888,SA
11,2022-02-22,1212745.0,2828.0,2601.0,2850.0,70460484500.0,2900.0,2947.0,2905.0,3055.0,2854.0,490629.0,SA2205,SA888,SA
12,2022-02-23,1046799.0,2905.0,2672.0,2824.0,60044390640.0,2850.0,2907.0,2868.0,3138.0,2876.0,470864.0,SA2205,SA888,SA
13,2022-02-24,1215291.0,2868.0,2638.0,2767.0,68834082240.0,2870.0,2891.0,2832.0,3098.0,2787.0,502544.0,SA2205,SA888,SA
