,trading_date,volume,prev_settlement,limit_down,low,total_turnover,open,high,settlement,limit_up,close,open_interest,dominant_id,order_book_id,underlying_symbol
0,2022-02-07,96723.0,8216.0,7394.0,8314.0,4076874450.0,8358.0,8506.0,8430.0,9038.0,8440.0,138637.0,SM2205,SM888,SM
1,2022-02-08,88096.0,8430.0,7586.0,8380.0,3718532160.0,8500.0,8546.0,8442.0,9274.0,8438.0,143261.0,SM2205,SM888,SM
2,2022-02-09,63820.0,8442.0,7596.0,8260.0,2656826600.0,8434.0,8434.0,8326.0,9288.0,8320.0,137674.0,SM2205,SM888,SM
3,2022-02-10,55509.0,8326.0,7492.0,8322.0,2325272010.0,8324.0,8412.0,8378.0,9160.0,8334.0,141256.0,SM2205,SM888,SM
4,2022-02-11,115557.0,8378.0,7540.0,8052.0,4766726250.0,8394.0,8428.0,8250.0,9216.0,8058.0,153858.0,SM2205,SM888,SM
5,2022-02-14,97673.0,8250.0,7424.0,7972.0,3945989200.0,8040.0,8154.0,8080.0,9076.0,8050.0,164008.0,SM2205,SM888,SM
6,2022-02-15,72932.0,8080.0,7272.0,8002.0,2942806200.0,8012.0,8112.0,8070.0,8888.0,8094.0,164899.0,SM2205,SM888,SM
7,2022-02-16,87927.0,8070.0,7262.0,8106.0,3586542330.0,8134.0,8228.0,8158.0,8878.0,8170.0,155738.0,SM2205,SM888,SM
8,2022-02-17,75245.0,8158.0,7342.0,8058.0,3060966600.0,8100.0,8186.0,8136.0,8974.0,8092.0,153216.0,SM2205,SM888,SM
9,2022-02-18,120121.0,8136.0,7322.0,8108.0,4953790040.0,8120.0,8330.0,8248.0,8950.0,8314.0,143310.0,SM2205,SM888,SM
10,2022-02-21,106337.0,8248.0,7422.0,8270.0,4464027260.0,8344.0,8480.0,8396.0,9074.0,8442.0,142241.0,SM2205,SM888,SM
11,2022-02-22,83902.0,8396.0,7556.0,8330.0,3523884000.0,8450.0,8490.0,8400.0,9236.0,8382.0,143842.0,SM2205,SM888,SM
12,2022-02-23,76453.0,8400.0,7560.0,8302.0,3222493950.0,8382.0,8480.0,8430.0,9240.0,8462.0,143674.0,SM2205,SM888,SM
13,2022-02-24,78629.0,8430.0,7586.0,8312.0,3300845420.0,8462.0,8504.0,8396.0,9274.0,8404.0,139448.0,SM2205,SM888,SM
14,2022-02-25,156533.0,8396.0,7556.0,8086.0,6444463610.0,8350.0,8450.0,8234.0,9236.0,8114.0,146677.0,SM2205,SM888,SM
15,2022-02-28,120250.0,8234.0,7410.0,8142.0,4997590000.0,8166.0,8426.0,8312.0,9058.0,8396.0,125874.0,SM2205,SM888,SM
16,2022-03-01,133199.0,8312.0,7480.0,8400.0,5664953470.0,8436.0,8580.0,8506.0,9144.0,8506.0,136582.0,SM2205,SM888,SM
17,2022-03-02,90453.0,8506.0,7654.0,8426.0,3850584210.0,8580.0,8598.0,8514.0,9358.0,8476.0,133729.0,SM2205,SM888,SM
18,2022-03-03,73161.0,8514.0,7662.0,8468.0,3118121820.0,8494.0,8588.0,8524.0,9366.0,8510.0,139690.0,SM2205,SM888,SM
19,2022-03-04,125554.0,8524.0,7670.0,8376.0,5320978520.0,8486.0,8606.0,8476.0,9378.0,8496.0,144174.0,SM2205,SM888,SM
20,2022-03-07,191724.0,8476.0,7628.0,8514.0,8299731960.0,8656.0,8834.0,8658.0,9324.0,8668.0,159769.0,SM2205,SM888,SM
21,2022-03-08,184508.0,8658.0,7792.0,8610.0,8122042160.0,8648.0,8958.0,8804.0,9524.0,8714.0,161160.0,SM2205,SM888,SM
22,2022-03-09,83429.0,8804.0,7922.0,8658.0,3650853040.0,8770.0,8814.0,8752.0,9686.0,8722.0,148373.0,SM2205,SM888,SM
23,2022-03-10,121684.0,8752.0,7876.0,8550.0,5326108680.0,8600.0,8884.0,8754.0,9628.0,8870.0,155166.0,SM2205,SM888,SM
24,2022-03-11,105383.0,8754.0,7878.0,8820.0,4689543500.0,8850.0,8978.0,8900.0,9630.0,8892.0,151843.0,SM2205,SM888,SM
25,2022-03-14,148906.0,8900.0,8010.0,8800.0,6623338880.0,8850.0,9008.0,8896.0,9790.0,8836.0,160787.0,SM2205,SM888,SM
26,2022-03-15,133360.0,8896.0,8006.0,8600.0,5811828800.0,8888.0,8890.0,8716.0,9786.0,8660.0,142244.0,SM2205,SM888,SM
27,2022-03-16,129324.0,8716.0,7844.0,8752.0,5725173480.0,8776.0,8948.0,8854.0,9588.0,8898.0,146390.0,SM2205,SM888,SM
28,2022-03-17,72386.0,8854.0,7968.0,8726.0,3187879440.0,8840.0,8896.0,8808.0,9740.0,8800.0,139439.0,SM2205,SM888,SM
29,2022-03-18,79032.0,8808.0,7926.0,8734.0,3488472480.0,8850.0,8916.0,8828.0,9690.0,8766.0,139912.0,SM2205,SM888,SM
30,2022-03-21,70022.0,8828.0,7944.0,8700.0,3067663820.0,8790.0,8848.0,8762.0,9712.0,8722.0,134154.0,SM2205,SM888,SM
31,2022-03-22,78607.0,8762.0,7884.0,8650.0,3417832360.0,8750.0,8760.0,8696.0,9640.0,8656.0,137579.0,SM2205,SM888,SM
32,2022-03-23,91930.0,8696.0,7826.0,8522.0,3936442600.0,8620.0,8620.0,8564.0,9566.0,8546.0,136133.0,SM2205,SM888,SM
33,2022-03-24,57988.0,8564.0,7706.0,8556.0,2495803520.0,8630.0,8676.0,8608.0,9422.0,8566.0,128623.0,SM2205,SM888,SM
34,2022-03-25,99776.0,8608.0,7746.0,8566.0,4336264960.0,8566.0,8788.0,8692.0,9470.0,8736.0,129315.0,SM2205,SM888,SM
