,order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,dominant_id,underlying_symbol
103,ZC888,2015-05-18,-206.8,5612600.0,-237.4,-204.4,128.0,-204.2,-206.0,76.0,-201.8,-166.2,-206.8,ZC1605,ZC
104,ZC888,2015-05-19,-207.4,524200.0,-223.6,-208.4,12.0,-206.8,-207.6,84.0,-206.0,-188.4,-208.4,ZC1605,ZC
105,ZC888,2015-05-20,-208.6,697500.0,-225.2,-207.6,16.0,-207.4,-208.4,84.0,-207.6,-190.0,-209.6,ZC1605,ZC
106,ZC888,2015-05-21,-201.2,3263700.0,-226.0,-206.4,74.0,-197.6,-203.4,122.0,-208.4,-190.8,-206.6,ZC1605,ZC
107,ZC888,2015-05-22,-203.0,3005000.0,-221.2,-205.2,68.0,-200.6,-202.4,154.0,-203.4,-185.6,-205.2,ZC1605,ZC
108,ZC888,2015-05-25,-204.2,528400.0,-220.2,-205.2,12.0,-202.6,-204.0,154.0,-202.4,-184.6,-205.2,ZC1605,ZC
109,ZC888,2015-05-26,-203.0,14874800.0,-221.8,-203.4,336.0,-196.6,-201.6,338.0,-204.0,-186.2,-205.2,ZC1605,ZC
110,ZC888,2015-05-27,-203.6,7750200.0,-219.4,-204.4,176.0,-200.2,-204.0,456.0,-201.6,-183.8,-205.6,ZC1605,ZC
111,ZC888,2015-05-28,-204.6,3782100.0,-221.8,-203.6,86.0,-203.4,-204.6,524.0,-204.0,-186.2,-204.8,ZC1605,ZC
112,ZC888,2015-05-29,-201.8,1148800.0,-222.2,-203.0,26.0,-201.8,-202.6,544.0,-204.6,-187.0,-204.6,ZC1605,ZC
113,ZC888,2015-06-01,-203.6,1498200.0,-220.4,-201.4,34.0,-201.4,-203.8,552.0,-202.6,-184.8,-204.2,ZC1605,ZC
114,ZC888,2015-06-02,-204.2,1057300.0,-221.6,-203.8,24.0,-201.8,-203.8,566.0,-203.8,-186.0,-204.2,ZC1605,ZC
115,ZC888,2015-06-03,-204.4,706000.0,-221.6,-202.2,16.0,-202.2,-203.2,572.0,-203.8,-186.0,-204.4,ZC1605,ZC
116,ZC888,2015-06-04,-204.4,880000.0,-221.0,-203.6,20.0,-203.4,-204.4,588.0,-203.2,-185.4,-205.8,ZC1605,ZC
117,ZC888,2015-06-05,-206.0,1228000.0,-222.0,-203.6,28.0,-203.6,-205.8,592.0,-204.4,-186.8,-206.4,ZC1605,ZC
118,ZC888,2015-06-08,-206.4,9721700.0,-223.4,-206.4,222.0,-206.0,-206.4,612.0,-205.8,-188.2,-207.0,ZC1605,ZC
119,ZC888,2015-06-09,-206.4,87600.0,-224.0,-206.4,2.0,-206.4,-206.4,614.0,-206.4,-188.8,-206.4,ZC1605,ZC
120,ZC888,2015-06-10,-205.4,1403100.0,-224.0,-205.4,32.0,-205.4,-206.0,620.0,-206.4,-188.8,-207.4,ZC1605,ZC
121,ZC888,2015-06-11,-207.0,350700.0,-223.6,-204.4,8.0,-204.4,-206.0,626.0,-206.0,-188.4,-207.2,ZC1605,ZC
122,ZC888,2015-06-12,-216.4,7092600.0,-223.6,-207.4,164.0,-207.4,-212.0,694.0,-206.0,-188.4,-216.4,ZC1605,ZC
123,ZC888,2015-06-15,-215.6,2320700.0,-229.4,-214.4,54.0,-213.8,-214.6,692.0,-212.0,-194.6,-215.6,ZC1605,ZC
124,ZC888,2015-06-16,-217.6,7597700.0,-231.8,-219.4,178.0,-216.4,-217.6,716.0,-214.6,-197.4,-219.4,ZC1605,ZC
125,ZC888,2015-06-17,-221.8,2969200.0,-234.8,-219.4,70.0,-218.4,-220.2,746.0,-217.6,-200.4,-222.8,ZC1605,ZC
126,ZC888,2015-06-18,-222.6,1265900.0,-237.2,-222.4,30.0,-222.0,-222.4,746.0,-220.2,-203.2,-224.0,ZC1605,ZC
127,ZC888,2015-06-19,-223.6,2607400.0,-239.4,-226.4,62.0,-221.8,-223.8,762.0,-222.4,-205.4,-230.0,ZC1605,ZC
128,ZC888,2015-06-23,-223.8,0.0,-240.8,-223.8,0.0,-223.8,-223.8,762.0,-223.8,-206.8,-223.8,ZC1605,ZC
129,ZC888,2015-06-24,-223.2,1774800.0,-240.8,-216.4,42.0,-216.4,-221.8,786.0,-223.8,-206.8,-223.2,ZC1605,ZC
130,ZC888,2015-06-25,-224.4,2606200.0,-238.8,-221.4,62.0,-221.4,-224.0,804.0,-221.8,-204.8,-225.2,ZC1605,ZC
131,ZC888,2015-06-26,-224.4,8143900.0,-241.0,-224.8,194.0,-224.0,-224.6,718.0,-224.0,-207.0,-225.4,ZC1605,ZC
132,ZC888,2015-06-29,-224.4,2090000.0,-241.4,-225.0,50.0,-224.4,-226.4,698.0,-224.6,-207.8,-232.6,ZC1605,ZC
133,ZC888,2015-06-30,-227.8,5402600.0,-243.2,-228.2,130.0,-226.2,-228.8,700.0,-226.4,-209.6,-231.2,ZC1605,ZC
134,ZC888,2015-07-01,-229.4,2491400.0,-245.6,-230.4,60.0,-227.0,-229.2,726.0,-228.8,-212.0,-230.4,ZC1605,ZC
135,ZC888,2015-07-02,-229.2,2732200.0,-246.0,-230.4,66.0,-229.2,-230.4,720.0,-229.2,-212.4,-232.2,ZC1605,ZC
136,ZC888,2015-07-03,-230.2,3573100.0,-247.0,-229.4,86.0,-227.2,-229.0,732.0,-230.4,-213.8,-230.8,ZC1605,ZC
137,ZC888,2015-07-06,-235.2,17745300.0,-245.8,-231.2,432.0,-231.0,-233.6,702.0,-229.0,-212.2,-240.2,ZC1605,ZC
138,ZC888,2015-07-07,-237.6,12863000.0,-250.2,-235.2,316.0,-235.2,-237.4,606.0,-233.6,-217.0,-244.4,ZC1605,ZC
139,ZC888,2015-07-08,-253.8,6879500.0,-253.8,-241.8,174.0,-241.8,-249.0,524.0,-237.4,-221.0,-253.8,ZC1605,ZC
140,ZC888,2015-07-09,-249.4,5259400.0,-276.8,-274.2,136.0,-243.4,-257.6,488.0,-249.0,-221.2,-274.2,ZC1605,ZC
141,ZC888,2015-07-10,-251.0,3001700.0,-273.2,-248.0,76.0,-247.4,-249.4,506.0,-257.6,-242.0,-251.8,ZC1605,ZC
142,ZC888,2015-07-13,-254.4,2437100.0,-265.2,-249.4,62.0,-247.6,-251.4,514.0,-249.4,-233.6,-262.6,ZC1605,ZC
143,ZC888,2015-07-14,-253.2,704400.0,-267.2,-251.8,18.0,-251.8,-253.0,520.0,-251.4,-235.6,-253.6,ZC1605,ZC
144,ZC888,2015-07-15,-254.2,1253300.0,-268.8,-250.8,32.0,-250.8,-252.8,530.0,-253.0,-237.2,-254.6,ZC1605,ZC
145,ZC888,2015-07-16,-253.6,1563600.0,-268.6,-254.2,40.0,-252.2,-253.4,538.0,-252.8,-237.0,-254.4,ZC1605,ZC
