,order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,dominant_id,underlying_symbol
103,ZN888,2010-01-04,19375.0,40779450700.0,18310.0,19345.0,379208.0,19665.0,19445.0,159712.0,19160.0,20005.0,19190.0,ZN1004,ZN
104,ZN888,2010-01-05,19590.0,50624447200.0,18580.0,19410.0,470848.0,19640.0,19440.0,168020.0,19445.0,20305.0,19195.0,ZN1004,ZN
105,ZN888,2010-01-06,19680.0,45256118350.0,18580.0,19520.0,415594.0,19875.0,19715.0,161544.0,19440.0,20300.0,19450.0,ZN1004,ZN
106,ZN888,2010-01-07,19665.0,57203548300.0,18840.0,20090.0,520498.0,20540.0,19920.0,146986.0,19715.0,20585.0,19290.0,ZN1004,ZN
107,ZN888,2010-01-08,19150.0,65328583650.0,18840.0,19460.0,614318.0,19645.0,19205.0,140680.0,19920.0,20795.0,18840.0,ZN1004,ZN
108,ZN888,2010-01-11,19675.0,40343688200.0,18350.0,19450.0,373446.0,19720.0,19545.0,135738.0,19205.0,20055.0,19290.0,ZN1004,ZN
109,ZN888,2010-01-12,19430.0,47921588400.0,18680.0,19540.0,448548.0,19540.0,19305.0,147190.0,19545.0,20405.0,19065.0,ZN1004,ZN
110,ZN888,2010-01-13,18390.0,37127171950.0,18265.0,18455.0,360390.0,18770.0,18540.0,134540.0,19305.0,20155.0,18265.0,ZN1004,ZN
111,ZN888,2010-01-14,18550.0,37346608350.0,17715.0,18875.0,360666.0,18905.0,18645.0,142024.0,18540.0,19360.0,18460.0,ZN1004,ZN
112,ZN888,2010-01-15,18410.0,42336773500.0,17815.0,18490.0,412092.0,18785.0,18485.0,133166.0,18645.0,19470.0,18140.0,ZN1004,ZN
113,ZN888,2010-01-18,18490.0,28839947350.0,17660.0,18230.0,282532.0,18515.0,18355.0,119920.0,18485.0,19305.0,18175.0,ZN1004,ZN
114,ZN888,2010-01-19,18890.0,26777608500.0,17535.0,18625.0,257556.0,18910.0,18730.0,97614.0,18355.0,19170.0,18500.0,ZN1004,ZN
115,ZN888,2010-01-20,18695.0,58038804150.0,17900.0,19045.0,549688.0,19165.0,18860.0,137176.0,18535.0,19575.0,18665.0,ZN1005,ZN
116,ZN888,2010-01-21,18670.0,56822582150.0,18015.0,18515.0,547954.0,18725.0,18480.0,143084.0,18860.0,19700.0,18275.0,ZN1005,ZN
117,ZN888,2010-01-22,17675.0,63121430250.0,17445.0,18145.0,627324.0,18275.0,17865.0,158540.0,18480.0,19305.0,17445.0,ZN1005,ZN
118,ZN888,2010-01-25,17770.0,56845601450.0,17060.0,17645.0,569736.0,17910.0,17700.0,171296.0,17865.0,18665.0,17465.0,ZN1005,ZN
119,ZN888,2010-01-26,17135.0,80111216850.0,16900.0,17785.0,810362.0,17875.0,17515.0,216286.0,17700.0,18495.0,17075.0,ZN1005,ZN
120,ZN888,2010-01-27,17195.0,67706848800.0,16720.0,17295.0,694706.0,17390.0,17235.0,195344.0,17515.0,18305.0,17080.0,ZN1005,ZN
121,ZN888,2010-01-28,16260.0,39358506700.0,16260.0,16455.0,421842.0,16640.0,16405.0,194452.0,17235.0,18010.0,16260.0,ZN1005,ZN
122,ZN888,2010-01-29,15335.0,74418264250.0,15275.0,15975.0,827258.0,16010.0,15735.0,188626.0,16405.0,17150.0,15275.0,ZN1005,ZN
123,ZN888,2010-02-01,15175.0,88346706250.0,14865.0,15315.0,1014014.0,15575.0,15170.0,200092.0,15735.0,16450.0,14865.0,ZN1005,ZN
124,ZN888,2010-02-02,15050.0,70925720350.0,14470.0,15545.0,811038.0,15575.0,15235.0,177090.0,15170.0,15865.0,14905.0,ZN1005,ZN
125,ZN888,2010-02-03,15905.0,92336431950.0,14535.0,15255.0,1037960.0,15920.0,15535.0,170240.0,15235.0,15930.0,15140.0,ZN1005,ZN
126,ZN888,2010-02-04,15425.0,99637049950.0,14820.0,15295.0,1127880.0,15690.0,15410.0,171416.0,15535.0,16245.0,15085.0,ZN1005,ZN
127,ZN888,2010-02-05,14890.0,70019165350.0,14655.0,14825.0,818788.0,14995.0,14845.0,162160.0,15410.0,16115.0,14655.0,ZN1005,ZN
128,ZN888,2010-02-08,14925.0,63400150950.0,14160.0,14850.0,733668.0,15245.0,15025.0,166092.0,14845.0,15525.0,14850.0,ZN1005,ZN
129,ZN888,2010-02-09,15055.0,73675935250.0,14330.0,14845.0,855268.0,15140.0,14970.0,172146.0,15025.0,15715.0,14680.0,ZN1005,ZN
130,ZN888,2010-02-10,15430.0,66142606900.0,14280.0,15335.0,749502.0,15540.0,15390.0,154572.0,14970.0,15655.0,15205.0,ZN1005,ZN
131,ZN888,2010-02-11,15820.0,58749602750.0,14680.0,15495.0,652988.0,15890.0,15735.0,143436.0,15390.0,16095.0,15445.0,ZN1005,ZN
132,ZN888,2010-02-12,16090.0,31752892150.0,15015.0,16095.0,346594.0,16160.0,16065.0,123522.0,15735.0,16450.0,15895.0,ZN1005,ZN
133,ZN888,2010-02-22,16585.0,30191494600.0,16545.0,17225.0,318244.0,17225.0,16715.0,110260.0,16065.0,17225.0,16545.0,ZN1005,ZN
134,ZN888,2010-02-23,16520.0,26071201950.0,15955.0,16435.0,278404.0,16595.0,16470.0,114214.0,16715.0,17470.0,16365.0,ZN1005,ZN
135,ZN888,2010-02-24,16125.0,17353528450.0,15720.0,16125.0,188724.0,16195.0,16135.0,107206.0,16470.0,17215.0,16065.0,ZN1005,ZN
136,ZN888,2010-02-25,16020.0,51811290450.0,15385.0,16180.0,555342.0,16510.0,16240.0,144408.0,15975.0,16870.0,16010.0,ZN1006,ZN
137,ZN888,2010-02-26,16015.0,46391484200.0,15490.0,15990.0,502646.0,16145.0,16040.0,162710.0,16240.0,16985.0,15935.0,ZN1006,ZN
138,ZN888,2010-03-01,16360.0,50896879550.0,15300.0,16585.0,540008.0,16765.0,16435.0,172476.0,16040.0,16775.0,16235.0,ZN1006,ZN
139,ZN888,2010-03-02,15645.0,45198893550.0,15635.0,16320.0,490752.0,16330.0,16005.0,184818.0,16435.0,17185.0,15635.0,ZN1006,ZN
140,ZN888,2010-03-03,15840.0,49931142600.0,15265.0,15965.0,547928.0,15965.0,15810.0,177258.0,16005.0,16740.0,15705.0,ZN1006,ZN
141,ZN888,2010-03-04,15935.0,56212887050.0,15080.0,16000.0,610622.0,16175.0,15995.0,167124.0,15810.0,16535.0,15845.0,ZN1006,ZN
142,ZN888,2010-03-05,16175.0,53896891550.0,15255.0,15905.0,585200.0,16235.0,16000.0,159588.0,15995.0,16730.0,15755.0,ZN1006,ZN
143,ZN888,2010-03-08,16820.0,58006675650.0,16365.0,16455.0,608786.0,16845.0,16640.0,174936.0,16000.0,16845.0,16365.0,ZN1006,ZN
144,ZN888,2010-03-09,16685.0,57959653750.0,15875.0,16705.0,607574.0,16760.0,16660.0,169384.0,16640.0,17400.0,16485.0,ZN1006,ZN
145,ZN888,2010-03-10,16940.0,59270526550.0,15895.0,16685.0,613210.0,17035.0,16915.0,174336.0,16660.0,17420.0,16660.0,ZN1006,ZN
146,ZN888,2010-03-11,16455.0,63784756500.0,16140.0,16810.0,670832.0,16885.0,16600.0,171092.0,16915.0,17685.0,16370.0,ZN1006,ZN
147,ZN888,2010-03-12,16640.0,50479737700.0,15835.0,16585.0,533276.0,16665.0,16515.0,170706.0,16600.0,17360.0,16375.0,ZN1006,ZN
148,ZN888,2010-03-15,16080.0,57354547650.0,15755.0,16565.0,617032.0,16600.0,16175.0,175154.0,16515.0,17270.0,15990.0,ZN1006,ZN
149,ZN888,2010-03-16,16240.0,67119828150.0,15430.0,15885.0,727168.0,16300.0,16045.0,186408.0,16175.0,16915.0,15705.0,ZN1006,ZN
150,ZN888,2010-03-17,16580.0,47569368250.0,15305.0,16320.0,504916.0,16635.0,16425.0,169210.0,16045.0,16780.0,16255.0,ZN1006,ZN
151,ZN888,2010-03-18,16300.0,61204644600.0,15670.0,16560.0,648724.0,16635.0,16450.0,168752.0,16425.0,17175.0,16285.0,ZN1006,ZN
152,ZN888,2010-03-19,16550.0,43781785300.0,15695.0,16345.0,463332.0,16620.0,16480.0,158596.0,16450.0,17200.0,16315.0,ZN1006,ZN
153,ZN888,2010-03-22,16145.0,48107894250.0,15720.0,16140.0,517548.0,16280.0,16175.0,172506.0,16480.0,17235.0,16065.0,ZN1006,ZN
154,ZN888,2010-03-23,16100.0,43718324400.0,15430.0,16245.0,468450.0,16395.0,16250.0,170758.0,16175.0,16915.0,16090.0,ZN1006,ZN
155,ZN888,2010-03-24,15960.0,48412709600.0,15500.0,16010.0,524348.0,16220.0,16050.0,188732.0,16250.0,16995.0,15865.0,ZN1006,ZN
156,ZN888,2010-03-25,15985.0,54409703900.0,15310.0,15960.0,594212.0,16025.0,15895.0,183744.0,16050.0,16785.0,15690.0,ZN1006,ZN
157,ZN888,2010-03-26,16195.0,38885407300.0,15160.0,15965.0,420116.0,16235.0,16095.0,155934.0,15895.0,16625.0,15885.0,ZN1006,ZN
158,ZN888,2010-03-29,16515.0,25721139700.0,15350.0,16320.0,273160.0,16545.0,16415.0,121760.0,16095.0,16835.0,16290.0,ZN1006,ZN
159,ZN888,2010-03-30,16495.0,52544633800.0,15670.0,16605.0,550350.0,16605.0,16495.0,171650.0,16235.0,17195.0,16325.0,ZN1007,ZN
160,ZN888,2010-03-31,16380.0,38910558850.0,15730.0,16605.0,408270.0,16605.0,16465.0,161776.0,16495.0,17255.0,16345.0,ZN1007,ZN
161,ZN888,2010-04-01,16835.0,76749055900.0,15700.0,16405.0,791790.0,16965.0,16790.0,219070.0,16465.0,17225.0,16380.0,ZN1007,ZN
162,ZN888,2010-04-02,16900.0,57829150300.0,16010.0,16895.0,595194.0,17085.0,16835.0,192444.0,16790.0,17565.0,16710.0,ZN1007,ZN
163,ZN888,2010-04-06,17095.0,52701007200.0,16055.0,16945.0,535474.0,17195.0,17085.0,209640.0,16835.0,17610.0,16910.0,ZN1007,ZN
164,ZN888,2010-04-07,17105.0,61762675400.0,16295.0,17150.0,626774.0,17245.0,17110.0,218988.0,17085.0,17870.0,16900.0,ZN1007,ZN
165,ZN888,2010-04-08,16625.0,50156105600.0,16320.0,16905.0,517940.0,16950.0,16770.0,223552.0,17110.0,17895.0,16610.0,ZN1007,ZN
166,ZN888,2010-04-09,16805.0,38152438950.0,15995.0,16725.0,393590.0,16850.0,16790.0,205644.0,16770.0,17540.0,16705.0,ZN1007,ZN
167,ZN888,2010-04-12,16935.0,40337553150.0,16010.0,16955.0,411782.0,17140.0,16995.0,211458.0,16790.0,17565.0,16855.0,ZN1007,ZN
