order_book_id,trading_date,close,total_turnover,limit_down,open,volume,high,settlement,open_interest,prev_settlement,limit_up,low,underlying_symbol,dominant_id
MA888,2020/12/4,2243,27297867510,2137,2257,1218111,2265,2245,767885,2274,2411,2210,MA,MA2101
MA888,2020/12/7,2247,21619983560,2110,2244,957908,2286,2261,715366,2245,2380,2238,MA,MA2101
MA888,2020/12/8,2231,26976757500,2125,2254,1198967,2284,2254,719650,2261,2397,2229,MA,MA2101
MA888,2020/12/9,2273,21409110920,2119,2242,950671,2281,2256,651728,2254,2389,2234,MA,MA2101
MA888,2020/12/10,2309,23917232440,2120,2273,1037174,2335,2310,632756,2256,2392,2272,MA,MA2101
MA888,2020/12/11,2439,28051674560,2171,2318,1185616,2446,2370,519410,2310,2449,2308,MA,MA2101
MA888,2020/12/14,2439,31446887610,2256,2433,1273669,2456,2433,919633,2403,2550,2410,MA,MA2105
MA888,2020/12/15,2479,36951705120,2284,2445,1486392,2488,2450,1048441,2433,2582,2418,MA,MA2105
MA888,2020/12/16,2455,31439682400,2300,2484,1256080,2489,2467,1022953,2450,2600,2447,MA,MA2105
MA888,2020/12/17,2467,36675440820,2316,2458,1474686,2475,2451,1057334,2467,2618,2428,MA,MA2105
MA888,2020/12/18,2481,42495667200,2301,2467,1686336,2526,2484,1018648,2451,2601,2451,MA,MA2105
MA888,2020/12/21,2475,35930732240,2332,2487,1424692,2513,2486,1025060,2484,2636,2458,MA,MA2105
MA888,2020/12/22,2431,48037078320,2334,2462,1915354,2522,2472,1014468,2486,2638,2426,MA,MA2105
MA888,2020/12/23,2392,42600720330,2321,2442,1746647,2444,2403,961581,2472,2623,2349,MA,MA2105
MA888,2020/12/24,2473,57351606980,2256,2412,2295901,2505,2462,1061469,2403,2550,2402,MA,MA2105
MA888,2020/12/25,2422,36625222200,2312,2467,1473852,2479,2449,989022,2462,2612,2415,MA,MA2105
MA888,2020/12/28,2327,47193528880,2299,2414,1950952,2436,2383,1062471,2449,2599,2308,MA,MA2105
MA888,2020/12/29,2300,39182889500,2237,2334,1667357,2348,2314,948115,2383,2529,2279,MA,MA2105
MA888,2020/12/30,2330,31824324000,2173,2300,1353075,2338,2316,954747,2314,2455,2286,MA,MA2105
MA888,2020/12/31,2361,29721391250,2174,2330,1251427,2366,2339,863234,2316,2458,2317,MA,MA2105
MA888,2021/1/4,2369,25291524960,2196,2356,1057338,2382,2356,934658,2339,2482,2331,MA,MA2105
MA888,2021/1/5,2380,29448916860,2212,2356,1222454,2389,2373,889468,2356,2500,2351,MA,MA2105
MA888,2021/1/6,2350,32260412580,2228,2390,1339162,2400,2373,987317,2373,2518,2335,MA,MA2105
MA888,2021/1/7,2344,34640523390,2228,2350,1461009,2356,2335,939591,2373,2518,2299,MA,MA2105
MA888,2021/1/8,2281,36760147050,2192,2340,1568935,2349,2307,1068336,2335,2478,2257,MA,MA2105
MA888,2021/1/11,2291,37817744650,2166,2291,1612697,2333,2309,1028335,2307,2448,2282,MA,MA2105
MA888,2021/1/12,2306,38302558700,2168,2293,1653110,2316,2281,1062972,2309,2450,2230,MA,MA2105
MA888,2021/1/13,2326,35380971360,2141,2317,1504293,2348,2316,1004703,2281,2421,2286,MA,MA2105
MA888,2021/1/14,2282,30332600730,2174,2325,1297929,2331,2301,1006711,2316,2458,2270,MA,MA2105
MA888,2021/1/15,2267,38305644120,2160,2277,1653957,2308,2280,1116495,2301,2442,2244,MA,MA2105
MA888,2021/1/18,2305,28517682340,2141,2267,1230802,2309,2281,1056936,2280,2419,2251,MA,MA2105
MA888,2021/1/19,2279,29841220810,2141,2305,1281289,2314,2293,1046484,2281,2421,2266,MA,MA2105
MA888,2021/1/20,2227,34504559540,2153,2273,1504778,2281,2257,1148081,2293,2433,2224,MA,MA2105
MA888,2021/1/21,2282,33116918850,2119,2229,1443003,2292,2259,1081298,2257,2395,2221,MA,MA2105
MA888,2021/1/22,2302,33797570840,2121,2283,1453034,2308,2290,1105460,2259,2397,2275,MA,MA2105
