,trading_date,volume,prev_settlement,limit_down,low,total_turnover,open,high,settlement,limit_up,close,open_interest,dominant_id,order_book_id,underlying_symbol
35,2019-12-06,318030.0,2252.0,2129.0,2268.0,9960699600.0,2302.0,2307.0,2288.0,2375.0,2283.0,38922.0,SA2005,SA888,SA
36,2019-12-09,167478.0,2288.0,2225.0,2278.0,5262158760.0,2286.0,2313.0,2293.0,2351.0,2294.0,31568.0,SA2005,SA888,SA
37,2019-12-10,221672.0,2293.0,2230.0,2292.0,7151138720.0,2294.0,2356.0,2335.0,2356.0,2356.0,68176.0,SA2005,SA888,SA
38,2019-12-11,459154.0,2335.0,2222.0,2359.0,15207180480.0,2371.0,2396.0,2378.0,2448.0,2371.0,66020.0,SA2005,SA888,SA
39,2019-12-12,245622.0,2378.0,2311.0,2347.0,8066226480.0,2364.0,2376.0,2364.0,2445.0,2352.0,70048.0,SA2005,SA888,SA
40,2019-12-13,132320.0,2364.0,2298.0,2345.0,4318924800.0,2355.0,2361.0,2354.0,2430.0,2352.0,69386.0,SA2005,SA888,SA
41,2019-12-16,277650.0,2354.0,2288.0,2348.0,9118026000.0,2356.0,2381.0,2364.0,2420.0,2354.0,77498.0,SA2005,SA888,SA
42,2019-12-17,223740.0,2364.0,2298.0,2300.0,7258125600.0,2351.0,2358.0,2344.0,2430.0,2345.0,70596.0,SA2005,SA888,SA
43,2019-12-18,195192.0,2344.0,2279.0,2344.0,6386682240.0,2345.0,2372.0,2358.0,2409.0,2350.0,71800.0,SA2005,SA888,SA
44,2019-12-19,130952.0,2358.0,2292.0,2345.0,4276892320.0,2350.0,2363.0,2355.0,2424.0,2348.0,74830.0,SA2005,SA888,SA
45,2019-12-20,134436.0,2355.0,2289.0,2333.0,4355726400.0,2348.0,2352.0,2342.0,2421.0,2333.0,84124.0,SA2005,SA888,SA
46,2019-12-23,113058.0,2342.0,2277.0,2318.0,3631422960.0,2332.0,2338.0,2328.0,2407.0,2323.0,83368.0,SA2005,SA888,SA
47,2019-12-24,62084.0,2328.0,2263.0,2322.0,1995379760.0,2325.0,2336.0,2329.0,2393.0,2326.0,83068.0,SA2005,SA888,SA
48,2019-12-25,57878.0,2329.0,2264.0,2321.0,1856726240.0,2324.0,2332.0,2326.0,2394.0,2325.0,88032.0,SA2005,SA888,SA
49,2019-12-26,55730.0,2326.0,2261.0,2324.0,1795620600.0,2324.0,2339.0,2333.0,2391.0,2331.0,85764.0,SA2005,SA888,SA
50,2019-12-27,102264.0,2333.0,2268.0,2329.0,3311308320.0,2331.0,2351.0,2341.0,2398.0,2330.0,86076.0,SA2005,SA888,SA
51,2019-12-30,79116.0,2341.0,2276.0,2330.0,2568105360.0,2331.0,2358.0,2345.0,2406.0,2355.0,80286.0,SA2005,SA888,SA
52,2019-12-31,79146.0,2345.0,2280.0,2351.0,2588074200.0,2355.0,2365.0,2357.0,2410.0,2355.0,73396.0,SA2005,SA888,SA
53,2020-01-02,26179.0,2357.0,2291.0,2340.0,853958980.0,2355.0,2363.0,2353.0,2423.0,2347.0,34862.0,SA2005,SA888,SA
54,2020-01-03,23178.0,2353.0,2287.0,2342.0,754212120.0,2348.0,2356.0,2349.0,2419.0,2351.0,33974.0,SA2005,SA888,SA
55,2020-01-06,40966.0,2349.0,2283.0,2350.0,1341226840.0,2351.0,2368.0,2359.0,2415.0,2360.0,33327.0,SA2005,SA888,SA
56,2020-01-07,19256.0,2359.0,2293.0,2346.0,628130720.0,2358.0,2362.0,2353.0,2425.0,2349.0,32570.0,SA2005,SA888,SA
57,2020-01-08,19972.0,2353.0,2287.0,2346.0,651486640.0,2348.0,2360.0,2353.0,2419.0,2352.0,32306.0,SA2005,SA888,SA
58,2020-01-09,27286.0,2353.0,2287.0,2343.0,888977880.0,2351.0,2357.0,2351.0,2419.0,2354.0,29476.0,SA2005,SA888,SA
59,2020-01-10,173405.0,2351.0,2285.0,2355.0,5760514100.0,2355.0,2397.0,2383.0,2417.0,2380.0,39616.0,SA2005,SA888,SA
60,2020-01-13,30481.0,2383.0,2316.0,2368.0,1008311480.0,2381.0,2383.0,2376.0,2450.0,2375.0,37522.0,SA2005,SA888,SA
61,2020-01-14,23832.0,2376.0,2309.0,2370.0,787885920.0,2379.0,2382.0,2375.0,2443.0,2375.0,36145.0,SA2005,SA888,SA
62,2020-01-15,129730.0,2375.0,2308.0,2374.0,4345955000.0,2376.0,2413.0,2397.0,2442.0,2387.0,39110.0,SA2005,SA888,SA
63,2020-01-16,34266.0,2397.0,2330.0,2387.0,1145169720.0,2389.0,2401.0,2393.0,2464.0,2390.0,36492.0,SA2005,SA888,SA
64,2020-01-17,40310.0,2393.0,2326.0,2389.0,1352803600.0,2396.0,2406.0,2400.0,2460.0,2399.0,37576.0,SA2005,SA888,SA
65,2020-01-20,31571.0,2400.0,2332.0,2380.0,1052577140.0,2400.0,2402.0,2389.0,2468.0,2389.0,33031.0,SA2005,SA888,SA
66,2020-01-21,17726.0,2389.0,2322.0,2377.0,589566760.0,2390.0,2396.0,2385.0,2456.0,2377.0,32381.0,SA2005,SA888,SA
67,2020-01-22,33941.0,2385.0,2318.0,2353.0,1113943620.0,2379.0,2379.0,2363.0,2452.0,2364.0,26024.0,SA2005,SA888,SA
68,2020-01-23,24597.0,2363.0,2248.0,2313.0,798418620.0,2366.0,2373.0,2345.0,2478.0,2337.0,22223.0,SA2005,SA888,SA
69,2020-02-03,30443.0,2345.0,2231.0,2231.0,927293780.0,2239.0,2268.0,2245.0,2459.0,2241.0,18012.0,SA2005,SA888,SA
70,2020-02-04,19994.0,2245.0,2184.0,2250.0,620213880.0,2250.0,2292.0,2273.0,2306.0,2283.0,18788.0,SA2005,SA888,SA
71,2020-02-05,18788.0,2273.0,2210.0,2273.0,585809840.0,2280.0,2291.0,2281.0,2336.0,2282.0,21591.0,SA2005,SA888,SA
72,2020-02-06,13995.0,2281.0,2218.0,2283.0,438883200.0,2284.0,2299.0,2290.0,2344.0,2296.0,19533.0,SA2005,SA888,SA
73,2020-02-07,10599.0,2290.0,2227.0,2293.0,334292460.0,2296.0,2331.0,2299.0,2353.0,2296.0,19840.0,SA2005,SA888,SA
74,2020-02-10,6875.0,2299.0,2235.0,2284.0,216012500.0,2295.0,2299.0,2293.0,2363.0,2290.0,20067.0,SA2005,SA888,SA
75,2020-02-11,10022.0,2293.0,2230.0,2286.0,315492560.0,2291.0,2303.0,2296.0,2356.0,2301.0,19745.0,SA2005,SA888,SA
76,2020-02-12,9233.0,2296.0,2233.0,2294.0,291947460.0,2300.0,2310.0,2303.0,2359.0,2300.0,20825.0,SA2005,SA888,SA
77,2020-02-13,8057.0,2303.0,2239.0,2295.0,254601200.0,2301.0,2309.0,2302.0,2367.0,2303.0,21245.0,SA2005,SA888,SA
78,2020-02-14,5604.0,2302.0,2238.0,2294.0,176750160.0,2302.0,2305.0,2299.0,2366.0,2300.0,20935.0,SA2005,SA888,SA
79,2020-02-17,7310.0,2299.0,2235.0,2299.0,231288400.0,2300.0,2310.0,2304.0,2363.0,2308.0,21231.0,SA2005,SA888,SA
80,2020-02-18,5105.0,2304.0,2240.0,2303.0,161828500.0,2312.0,2317.0,2307.0,2368.0,2305.0,20735.0,SA2005,SA888,SA
