,trading_date,volume,prev_settlement,limit_down,low,total_turnover,open,high,settlement,limit_up,close,open_interest,dominant_id,order_book_id,underlying_symbol
35,2014-08-08,200.0,6072.0,5592.0,5812.0,5794300.0,5982.0,5982.0,5866.0,6552.0,5886.0,16.0,SF1411,SF888,SF
36,2014-08-11,106956.0,5876.0,5646.0,5850.0,3122045640.0,5850.0,5964.0,5920.0,6110.0,5914.0,33658.0,SF1501,SF888,SF
37,2014-08-12,233812.0,5920.0,5686.0,5890.0,6904468360.0,5892.0,6038.0,5988.0,6154.0,5994.0,46588.0,SF1501,SF888,SF
38,2014-08-13,119328.0,5988.0,5750.0,5962.0,3526142400.0,6002.0,6028.0,5992.0,6226.0,6008.0,46610.0,SF1501,SF888,SF
39,2014-08-14,142708.0,5992.0,5754.0,5792.0,4127115360.0,6000.0,6018.0,5866.0,6230.0,5822.0,35404.0,SF1501,SF888,SF
40,2014-08-15,63946.0,5866.0,5634.0,5812.0,1839726420.0,5822.0,5862.0,5836.0,6098.0,5856.0,33498.0,SF1501,SF888,SF
41,2014-08-18,48440.0,5836.0,5604.0,5812.0,1393883100.0,5858.0,5878.0,5838.0,6068.0,5830.0,33734.0,SF1501,SF888,SF
42,2014-08-19,39674.0,5838.0,5606.0,5772.0,1139437280.0,5822.0,5862.0,5826.0,6070.0,5858.0,32334.0,SF1501,SF888,SF
43,2014-08-20,47588.0,5826.0,5596.0,5596.0,1363396200.0,5860.0,5860.0,5812.0,6056.0,5812.0,33542.0,SF1501,SF888,SF
44,2014-08-21,15598.0,5812.0,5582.0,5804.0,447818580.0,5828.0,5860.0,5824.0,6042.0,5824.0,33038.0,SF1501,SF888,SF
45,2014-08-22,27818.0,5824.0,5594.0,5788.0,796429340.0,5818.0,5836.0,5808.0,6054.0,5798.0,33512.0,SF1501,SF888,SF
46,2014-08-25,40176.0,5808.0,5578.0,5758.0,1149435360.0,5792.0,5824.0,5804.0,6038.0,5820.0,29610.0,SF1501,SF888,SF
47,2014-08-26,15454.0,5804.0,5574.0,5808.0,443711600.0,5824.0,5852.0,5824.0,6034.0,5834.0,24442.0,SF1501,SF888,SF
48,2014-08-27,16096.0,5824.0,5594.0,5826.0,464369600.0,5826.0,5870.0,5852.0,6054.0,5848.0,21552.0,SF1501,SF888,SF
49,2014-08-28,11954.0,5852.0,5620.0,5816.0,344036120.0,5842.0,5862.0,5838.0,6084.0,5862.0,20416.0,SF1501,SF888,SF
50,2014-08-29,16324.0,5838.0,5606.0,5838.0,471600360.0,5858.0,5892.0,5860.0,6070.0,5882.0,19760.0,SF1501,SF888,SF
51,2014-09-01,22664.0,5860.0,5628.0,5858.0,657709280.0,5886.0,5910.0,5886.0,6092.0,5858.0,21208.0,SF1501,SF888,SF
52,2014-09-02,34782.0,5886.0,5652.0,5796.0,1000678140.0,5854.0,5880.0,5836.0,6120.0,5844.0,24782.0,SF1501,SF888,SF
53,2014-09-03,10766.0,5836.0,5604.0,5832.0,310814420.0,5844.0,5874.0,5856.0,6068.0,5836.0,24676.0,SF1501,SF888,SF
54,2014-09-04,13020.0,5856.0,5624.0,5802.0,374325000.0,5832.0,5870.0,5832.0,6088.0,5846.0,24444.0,SF1501,SF888,SF
55,2014-09-05,10634.0,5832.0,5602.0,5818.0,306152860.0,5850.0,5866.0,5840.0,6062.0,5834.0,24888.0,SF1501,SF888,SF
56,2014-09-09,35286.0,5840.0,5608.0,5730.0,1002475260.0,5822.0,5836.0,5764.0,6072.0,5744.0,32824.0,SF1501,SF888,SF
57,2014-09-10,25276.0,5764.0,5536.0,5718.0,720113240.0,5720.0,5868.0,5780.0,5992.0,5792.0,27534.0,SF1501,SF888,SF
58,2014-09-11,8168.0,5780.0,5552.0,5768.0,232869680.0,5790.0,5796.0,5784.0,6008.0,5780.0,27304.0,SF1501,SF888,SF
59,2014-09-12,5146.0,5784.0,5554.0,5772.0,147124140.0,5782.0,5818.0,5800.0,6014.0,5810.0,25880.0,SF1501,SF888,SF
60,2014-09-15,8792.0,5800.0,5570.0,5798.0,253473360.0,5804.0,5868.0,5848.0,6030.0,5858.0,24370.0,SF1501,SF888,SF
61,2014-09-16,6570.0,5848.0,5616.0,5840.0,189938700.0,5870.0,5890.0,5864.0,6080.0,5846.0,22790.0,SF1501,SF888,SF
62,2014-09-17,2508.0,5864.0,5632.0,5844.0,72405960.0,5860.0,5868.0,5856.0,6096.0,5860.0,22772.0,SF1501,SF888,SF
63,2014-09-18,3976.0,5856.0,5624.0,5836.0,114667840.0,5862.0,5870.0,5850.0,6088.0,5840.0,22258.0,SF1501,SF888,SF
64,2014-09-19,11852.0,5850.0,5618.0,5776.0,339441280.0,5842.0,5844.0,5810.0,6082.0,5782.0,21826.0,SF1501,SF888,SF
