,trading_date,volume,prev_settlement,limit_down,low,total_turnover,open,high,settlement,limit_up,close,open_interest,dominant_id,order_book_id,underlying_symbol
35,2014-08-08,430.0,2498.0,1966.0,2314.0,14073800.0,2370.0,2498.0,2394.0,3030.0,2314.0,90.0,SM1411,SM888,SM
36,2014-08-11,84570.0,2378.0,2122.0,2246.0,2734148100.0,2276.0,2350.0,2298.0,2650.0,2282.0,25638.0,SM1501,SM888,SM
37,2014-08-12,93996.0,2298.0,2038.0,2236.0,3031371000.0,2254.0,2332.0,2282.0,2558.0,2246.0,31852.0,SM1501,SM888,SM
38,2014-08-13,43002.0,2282.0,2024.0,2220.0,1381224240.0,2242.0,2288.0,2256.0,2540.0,2256.0,28278.0,SM1501,SM888,SM
39,2014-08-14,84352.0,2256.0,1998.0,2184.0,2702638080.0,2248.0,2298.0,2240.0,2514.0,2228.0,28028.0,SM1501,SM888,SM
40,2014-08-15,28828.0,2240.0,1982.0,2218.0,923649120.0,2232.0,2258.0,2240.0,2498.0,2244.0,22570.0,SM1501,SM888,SM
41,2014-08-18,38498.0,2240.0,1982.0,2230.0,1240091400.0,2250.0,2310.0,2274.0,2498.0,2236.0,19164.0,SM1501,SM888,SM
42,2014-08-19,22378.0,2274.0,2016.0,2196.0,714081980.0,2226.0,2240.0,2214.0,2532.0,2218.0,18616.0,SM1501,SM888,SM
43,2014-08-20,14756.0,2214.0,1958.0,2186.0,470273720.0,2208.0,2242.0,2206.0,2470.0,2218.0,18918.0,SM1501,SM888,SM
44,2014-08-21,6248.0,2206.0,1950.0,2192.0,199311200.0,2230.0,2238.0,2212.0,2462.0,2202.0,17696.0,SM1501,SM888,SM
45,2014-08-22,12830.0,2212.0,1956.0,2198.0,409790200.0,2198.0,2230.0,2220.0,2468.0,2224.0,11538.0,SM1501,SM888,SM
46,2014-08-25,24326.0,2220.0,1964.0,2212.0,781594380.0,2228.0,2280.0,2258.0,2476.0,2268.0,11352.0,SM1501,SM888,SM
47,2014-08-26,7344.0,2258.0,2000.0,2244.0,236250500.0,2258.0,2278.0,2266.0,2516.0,2274.0,10202.0,SM1501,SM888,SM
48,2014-08-27,10064.0,2266.0,2008.0,2230.0,323557600.0,2316.0,2316.0,2262.0,2524.0,2230.0,7906.0,SM1501,SM888,SM
49,2014-08-28,8966.0,2262.0,2004.0,2198.0,286194720.0,2224.0,2242.0,2216.0,2520.0,2210.0,8070.0,SM1501,SM888,SM
50,2014-08-29,3956.0,2216.0,1960.0,2198.0,126235960.0,2206.0,2224.0,2214.0,2472.0,2204.0,6908.0,SM1501,SM888,SM
51,2014-09-01,5250.0,2214.0,1958.0,2200.0,167475000.0,2202.0,2220.0,2212.0,2470.0,2210.0,8340.0,SM1501,SM888,SM
52,2014-09-02,5886.0,2212.0,1956.0,2138.0,186821640.0,2200.0,2200.0,2180.0,2468.0,2176.0,9830.0,SM1501,SM888,SM
53,2014-09-03,4738.0,2180.0,1926.0,2156.0,150289360.0,2158.0,2184.0,2176.0,2434.0,2172.0,11636.0,SM1501,SM888,SM
54,2014-09-04,3934.0,2176.0,1922.0,2150.0,124786480.0,2172.0,2192.0,2176.0,2430.0,2174.0,11500.0,SM1501,SM888,SM
55,2014-09-05,2184.0,2176.0,1922.0,2160.0,69254640.0,2160.0,2184.0,2174.0,2430.0,2162.0,12372.0,SM1501,SM888,SM
56,2014-09-09,6712.0,2174.0,1920.0,2100.0,211495120.0,2156.0,2158.0,2134.0,2428.0,2130.0,14830.0,SM1501,SM888,SM
57,2014-09-10,4424.0,2134.0,1880.0,1988.0,139134800.0,2114.0,2142.0,2122.0,2388.0,2132.0,14596.0,SM1501,SM888,SM
58,2014-09-11,1676.0,2122.0,1870.0,2096.0,52659920.0,2132.0,2132.0,2116.0,2374.0,2096.0,14664.0,SM1501,SM888,SM
59,2014-09-12,1308.0,2116.0,1864.0,2082.0,41018880.0,2102.0,2120.0,2104.0,2368.0,2120.0,14826.0,SM1501,SM888,SM
60,2014-09-15,2590.0,2104.0,1852.0,2092.0,81844000.0,2092.0,2178.0,2152.0,2356.0,2178.0,14088.0,SM1501,SM888,SM
61,2014-09-16,1312.0,2152.0,1898.0,2132.0,41524800.0,2180.0,2182.0,2162.0,2406.0,2132.0,14146.0,SM1501,SM888,SM
62,2014-09-17,778.0,2162.0,1908.0,2122.0,24514780.0,2142.0,2156.0,2134.0,2416.0,2124.0,14216.0,SM1501,SM888,SM
63,2014-09-18,2004.0,2134.0,1880.0,2078.0,62745240.0,2130.0,2130.0,2094.0,2388.0,2084.0,14524.0,SM1501,SM888,SM
64,2014-09-19,2160.0,2094.0,1842.0,1944.0,66787200.0,2080.0,2080.0,2016.0,2346.0,1958.0,14922.0,SM1501,SM888,SM
65,2014-09-22,5342.0,2016.0,1768.0,1832.0,161168140.0,1896.0,1922.0,1866.0,2264.0,1862.0,15022.0,SM1501,SM888,SM
66,2014-09-23,1130.0,1866.0,1624.0,1852.0,34239000.0,1852.0,1962.0,1892.0,2108.0,1874.0,14986.0,SM1501,SM888,SM
67,2014-09-24,1252.0,1892.0,1648.0,1862.0,37948120.0,1874.0,1940.0,1894.0,2136.0,1932.0,14922.0,SM1501,SM888,SM
68,2014-09-25,4178.0,1894.0,1650.0,1814.0,125716020.0,1932.0,1970.0,1850.0,2138.0,1848.0,16086.0,SM1501,SM888,SM
69,2014-09-26,1972.0,1850.0,1608.0,1772.0,59455800.0,1828.0,1892.0,1862.0,2092.0,1880.0,15694.0,SM1501,SM888,SM
70,2014-09-29,1066.0,1862.0,1620.0,1848.0,32203860.0,1920.0,1920.0,1874.0,2104.0,1902.0,15406.0,SM1501,SM888,SM
71,2014-09-30,470.0,1874.0,1510.0,1888.0,14302100.0,1954.0,1960.0,1918.0,2238.0,1920.0,15192.0,SM1501,SM888,SM
72,2014-10-08,606.0,1918.0,1552.0,1910.0,18507240.0,1962.0,2012.0,1940.0,2284.0,1918.0,15118.0,SM1501,SM888,SM
73,2014-10-09,1686.0,1940.0,1694.0,1912.0,51743340.0,1912.0,2010.0,1970.0,2186.0,2002.0,15012.0,SM1501,SM888,SM
74,2014-10-10,916.0,1970.0,1724.0,1954.0,28185320.0,1984.0,2002.0,1986.0,2216.0,1976.0,14844.0,SM1501,SM888,SM
75,2014-10-13,2854.0,1986.0,1738.0,1982.0,89101880.0,2002.0,2152.0,2076.0,2234.0,2076.0,14680.0,SM1501,SM888,SM
76,2014-10-14,1098.0,2076.0,1826.0,2002.0,34038000.0,2120.0,2120.0,2032.0,2326.0,2034.0,14296.0,SM1501,SM888,SM
77,2014-10-15,968.0,2032.0,1784.0,1990.0,29901520.0,2034.0,2046.0,2010.0,2280.0,2008.0,14316.0,SM1501,SM888,SM
78,2014-10-16,938.0,2010.0,1762.0,1950.0,28834120.0,1982.0,2018.0,1980.0,2258.0,1992.0,14222.0,SM1501,SM888,SM
79,2014-10-17,1656.0,1980.0,1734.0,2012.0,51716880.0,2016.0,2146.0,2078.0,2226.0,2048.0,14130.0,SM1501,SM888,SM
80,2014-10-20,1016.0,2078.0,1828.0,1994.0,31465520.0,1994.0,2054.0,2026.0,2328.0,2014.0,13996.0,SM1501,SM888,SM
81,2014-10-21,498.0,2026.0,1778.0,2002.0,15419800.0,2002.0,2036.0,2026.0,2274.0,2026.0,13974.0,SM1501,SM888,SM
82,2014-10-22,1006.0,2026.0,1778.0,1972.0,31015200.0,2002.0,2044.0,1998.0,2274.0,1972.0,13944.0,SM1501,SM888,SM
83,2014-10-23,730.0,1998.0,1750.0,1952.0,22432700.0,1954.0,2030.0,1978.0,2246.0,2028.0,13888.0,SM1501,SM888,SM
84,2014-10-24,962.0,1978.0,1732.0,2016.0,29849300.0,2080.0,2080.0,2038.0,2224.0,2046.0,13642.0,SM1501,SM888,SM
85,2014-10-27,506.0,2038.0,1788.0,2016.0,15711300.0,2044.0,2058.0,2042.0,2288.0,2028.0,13538.0,SM1501,SM888,SM
86,2014-10-28,390.0,2042.0,1792.0,2020.0,12097800.0,2040.0,2048.0,2036.0,2292.0,2032.0,13422.0,SM1501,SM888,SM
87,2014-10-29,480.0,2036.0,1786.0,2020.0,14884800.0,2046.0,2054.0,2034.0,2286.0,2038.0,13192.0,SM1501,SM888,SM
88,2014-10-30,600.0,2034.0,1784.0,2012.0,18588000.0,2048.0,2052.0,2028.0,2284.0,2012.0,13106.0,SM1501,SM888,SM
89,2014-10-31,582.0,2028.0,1780.0,1958.0,17937240.0,2028.0,2030.0,1996.0,2276.0,1982.0,13140.0,SM1501,SM888,SM
90,2014-11-03,1398.0,1996.0,1748.0,1906.0,42988500.0,1906.0,2014.0,1982.0,2244.0,2012.0,13280.0,SM1501,SM888,SM
91,2014-11-04,1530.0,1982.0,1736.0,1982.0,47445300.0,1982.0,2080.0,2034.0,2228.0,2028.0,13258.0,SM1501,SM888,SM
92,2014-11-05,680.0,2034.0,1784.0,2004.0,21059600.0,2058.0,2058.0,2026.0,2284.0,2004.0,13216.0,SM1501,SM888,SM
93,2014-11-06,452.0,2026.0,1778.0,1990.0,13998440.0,2004.0,2050.0,2026.0,2274.0,2036.0,13236.0,SM1501,SM888,SM
94,2014-11-07,284.0,2026.0,1778.0,2022.0,8809680.0,2058.0,2062.0,2036.0,2274.0,2040.0,13156.0,SM1501,SM888,SM
95,2014-11-10,534.0,2036.0,1786.0,1964.0,16500600.0,2042.0,2052.0,2012.0,2286.0,2020.0,13072.0,SM1501,SM888,SM
96,2014-11-11,202.0,2012.0,1764.0,2002.0,6255940.0,2032.0,2034.0,2026.0,2260.0,2024.0,13040.0,SM1501,SM888,SM
97,2014-11-12,614.0,2026.0,1778.0,2022.0,19076980.0,2036.0,2054.0,2046.0,2274.0,2040.0,12930.0,SM1501,SM888,SM
98,2014-11-13,360.0,2046.0,1796.0,2004.0,11149200.0,2034.0,2046.0,2026.0,2296.0,2038.0,12888.0,SM1501,SM888,SM
99,2014-11-14,198.0,2026.0,1778.0,2014.0,6139980.0,2044.0,2044.0,2034.0,2274.0,2038.0,12860.0,SM1501,SM888,SM
100,2014-11-17,80.0,2034.0,1784.0,2020.0,2480800.0,2028.0,2040.0,2034.0,2284.0,2026.0,12856.0,SM1501,SM888,SM
101,2014-11-18,524.0,2034.0,1784.0,2016.0,16223040.0,2018.0,2032.0,2024.0,2284.0,2020.0,12714.0,SM1501,SM888,SM
102,2014-11-19,1134.0,2024.0,1776.0,2020.0,35176680.0,2030.0,2048.0,2036.0,2272.0,2048.0,12118.0,SM1501,SM888,SM
103,2014-11-20,2976.0,2036.0,1786.0,2020.0,92315520.0,2042.0,2052.0,2036.0,2286.0,2032.0,9492.0,SM1501,SM888,SM
104,2014-11-21,2314.0,2036.0,1786.0,2024.0,71734000.0,2042.0,2042.0,2032.0,2286.0,2028.0,7356.0,SM1501,SM888,SM
105,2014-11-24,2100.0,2032.0,1784.0,2014.0,65079000.0,2042.0,2044.0,2030.0,2280.0,2016.0,5702.0,SM1501,SM888,SM
106,2014-11-25,270.0,2030.0,1782.0,2002.0,8348400.0,2002.0,2032.0,2016.0,2278.0,2032.0,5674.0,SM1501,SM888,SM
107,2014-11-26,360.0,2016.0,1768.0,2028.0,11181600.0,2062.0,2062.0,2044.0,2264.0,2040.0,5622.0,SM1501,SM888,SM
108,2014-11-27,932.0,2044.0,1794.0,1988.0,28873360.0,2022.0,2080.0,2028.0,2294.0,2062.0,5656.0,SM1501,SM888,SM
109,2014-11-28,1060.0,2028.0,1780.0,1994.0,32860000.0,2032.0,2052.0,2032.0,2276.0,2024.0,5594.0,SM1501,SM888,SM
110,2014-12-01,1224.0,2032.0,1784.0,1920.0,37907280.0,1924.0,2050.0,2026.0,2280.0,2020.0,5750.0,SM1501,SM888,SM
111,2014-12-02,394.0,2026.0,1778.0,2002.0,12198240.0,2002.0,2042.0,2024.0,2274.0,2024.0,5728.0,SM1501,SM888,SM
112,2014-12-03,2932.0,2024.0,1776.0,1988.0,90422880.0,1992.0,2020.0,2000.0,2272.0,2000.0,6858.0,SM1501,SM888,SM
113,2014-12-04,1808.0,2000.0,1752.0,1980.0,55831040.0,1982.0,2042.0,2008.0,2248.0,2012.0,7452.0,SM1501,SM888,SM
114,2014-12-05,464.0,2008.0,1760.0,1984.0,14300480.0,2002.0,2012.0,1996.0,2256.0,1992.0,7634.0,SM1501,SM888,SM
