,trading_date,volume,prev_settlement,limit_down,low,total_turnover,open,high,settlement,limit_up,close,open_interest,dominant_id,order_book_id,underlying_symbol
35,2019-08-09,659400.0,1443.0,1295.0,1295.0,23065812000.0,1338.0,1381.0,1342.0,1591.0,1295.0,78818.0,UR2001,UR888,UR
36,2019-08-12,546572.0,1342.0,1272.0,1272.0,18572516560.0,1283.0,1319.0,1292.0,1412.0,1309.0,93880.0,UR2001,UR888,UR
37,2019-08-13,646106.0,1292.0,1224.0,1295.0,22523255160.0,1298.0,1360.0,1336.0,1360.0,1360.0,130368.0,UR2001,UR888,UR
38,2019-08-14,580890.0,1336.0,1213.0,1309.0,20273061000.0,1363.0,1376.0,1338.0,1459.0,1325.0,91742.0,UR2001,UR888,UR
39,2019-08-15,359014.0,1338.0,1268.0,1317.0,12486506920.0,1331.0,1346.0,1332.0,1408.0,1331.0,91470.0,UR2001,UR888,UR
40,2019-08-16,155558.0,1332.0,1262.0,1325.0,5422751880.0,1330.0,1347.0,1336.0,1402.0,1332.0,85024.0,UR2001,UR888,UR
41,2019-08-19,114896.0,1336.0,1266.0,1323.0,4000678720.0,1336.0,1343.0,1334.0,1406.0,1334.0,82192.0,UR2001,UR888,UR
42,2019-08-20,56548.0,1334.0,1264.0,1329.0,1967870400.0,1334.0,1342.0,1333.0,1404.0,1334.0,75570.0,UR2001,UR888,UR
43,2019-08-21,186728.0,1333.0,1263.0,1299.0,6412239520.0,1331.0,1331.0,1310.0,1403.0,1311.0,72356.0,UR2001,UR888,UR
44,2019-08-22,60066.0,1310.0,1241.0,1311.0,2071075680.0,1315.0,1323.0,1317.0,1379.0,1316.0,66808.0,UR2001,UR888,UR
45,2019-08-23,39686.0,1317.0,1248.0,1307.0,1365198400.0,1318.0,1320.0,1313.0,1386.0,1313.0,66130.0,UR2001,UR888,UR
46,2019-08-26,84092.0,1313.0,1244.0,1305.0,2917992400.0,1308.0,1341.0,1328.0,1382.0,1329.0,63260.0,UR2001,UR888,UR
47,2019-08-27,119160.0,1328.0,1258.0,1324.0,4163450400.0,1327.0,1351.0,1340.0,1398.0,1331.0,64540.0,UR2001,UR888,UR
48,2019-08-28,63824.0,1340.0,1270.0,1331.0,2232563520.0,1337.0,1351.0,1342.0,1410.0,1343.0,65434.0,UR2001,UR888,UR
49,2019-08-29,461238.0,1342.0,1272.0,1342.0,16530769920.0,1342.0,1408.0,1385.0,1412.0,1379.0,88936.0,UR2001,UR888,UR
50,2019-08-30,164404.0,1385.0,1313.0,1374.0,5895527440.0,1388.0,1397.0,1386.0,1457.0,1382.0,88046.0,UR2001,UR888,UR
51,2019-09-02,149628.0,1386.0,1314.0,1374.0,5392593120.0,1386.0,1419.0,1395.0,1458.0,1389.0,94430.0,UR2001,UR888,UR
52,2019-09-03,92794.0,1395.0,1322.0,1378.0,3329448720.0,1391.0,1399.0,1387.0,1468.0,1384.0,92054.0,UR2001,UR888,UR
53,2019-09-04,302950.0,1387.0,1315.0,1386.0,11039498000.0,1389.0,1436.0,1415.0,1459.0,1406.0,97976.0,UR2001,UR888,UR
54,2019-09-05,127216.0,1415.0,1342.0,1400.0,4628118080.0,1407.0,1423.0,1412.0,1488.0,1405.0,92870.0,UR2001,UR888,UR
55,2019-09-06,89434.0,1412.0,1339.0,1403.0,3251820240.0,1408.0,1420.0,1411.0,1485.0,1413.0,93418.0,UR2001,UR888,UR
56,2019-09-09,86552.0,1411.0,1338.0,1410.0,3162610080.0,1425.0,1433.0,1420.0,1484.0,1416.0,96624.0,UR2001,UR888,UR
57,2019-09-10,113858.0,1420.0,1346.0,1396.0,4135322560.0,1419.0,1428.0,1409.0,1494.0,1404.0,91392.0,UR2001,UR888,UR
58,2019-09-11,50736.0,1409.0,1336.0,1401.0,1840702080.0,1404.0,1413.0,1407.0,1482.0,1410.0,86822.0,UR2001,UR888,UR
59,2019-09-12,36434.0,1407.0,1334.0,1404.0,1323282880.0,1411.0,1415.0,1409.0,1480.0,1408.0,83524.0,UR2001,UR888,UR
60,2019-09-16,93312.0,1409.0,1336.0,1368.0,3357365760.0,1412.0,1418.0,1392.0,1482.0,1383.0,75976.0,UR2001,UR888,UR
61,2019-09-17,60294.0,1392.0,1320.0,1371.0,2152495800.0,1384.0,1389.0,1378.0,1464.0,1374.0,70150.0,UR2001,UR888,UR
62,2019-09-18,69102.0,1378.0,1306.0,1357.0,2454503040.0,1375.0,1379.0,1369.0,1450.0,1378.0,65600.0,UR2001,UR888,UR
63,2019-09-19,60948.0,1369.0,1297.0,1367.0,2175843600.0,1377.0,1387.0,1378.0,1441.0,1371.0,68304.0,UR2001,UR888,UR
64,2019-09-20,86986.0,1378.0,1306.0,1345.0,3065386640.0,1373.0,1373.0,1355.0,1450.0,1353.0,71280.0,UR2001,UR888,UR
65,2019-09-23,46354.0,1355.0,1284.0,1349.0,1633514960.0,1357.0,1362.0,1355.0,1426.0,1356.0,74478.0,UR2001,UR888,UR
66,2019-09-24,50838.0,1355.0,1284.0,1352.0,1798648440.0,1357.0,1369.0,1362.0,1426.0,1365.0,69872.0,UR2001,UR888,UR
67,2019-09-25,43502.0,1362.0,1291.0,1347.0,1532140440.0,1367.0,1368.0,1354.0,1433.0,1349.0,74100.0,UR2001,UR888,UR
68,2019-09-26,39750.0,1354.0,1283.0,1337.0,1396020000.0,1350.0,1358.0,1349.0,1425.0,1351.0,70618.0,UR2001,UR888,UR
69,2019-09-27,22444.0,1349.0,1278.0,1340.0,786437760.0,1344.0,1350.0,1345.0,1420.0,1342.0,65782.0,UR2001,UR888,UR
70,2019-09-30,23764.0,1345.0,1222.0,1342.0,835542240.0,1347.0,1357.0,1351.0,1468.0,1348.0,63890.0,UR2001,UR888,UR
71,2019-10-08,38406.0,1351.0,1227.0,1321.0,1342673760.0,1343.0,1357.0,1341.0,1475.0,1346.0,65400.0,UR2001,UR888,UR
72,2019-10-09,55208.0,1341.0,1271.0,1345.0,1948842400.0,1347.0,1366.0,1358.0,1411.0,1362.0,73802.0,UR2001,UR888,UR
73,2019-10-10,35538.0,1358.0,1287.0,1349.0,1255912920.0,1362.0,1372.0,1360.0,1429.0,1351.0,74388.0,UR2001,UR888,UR
74,2019-10-11,26466.0,1360.0,1289.0,1341.0,928427280.0,1353.0,1356.0,1347.0,1431.0,1345.0,75068.0,UR2001,UR888,UR
75,2019-10-14,30908.0,1347.0,1276.0,1327.0,1078071040.0,1343.0,1346.0,1337.0,1418.0,1332.0,81130.0,UR2001,UR888,UR
76,2019-10-15,20866.0,1337.0,1267.0,1323.0,723632880.0,1323.0,1331.0,1327.0,1407.0,1330.0,83800.0,UR2001,UR888,UR
77,2019-10-16,21902.0,1327.0,1257.0,1323.0,760875480.0,1330.0,1335.0,1330.0,1397.0,1323.0,84696.0,UR2001,UR888,UR
78,2019-10-17,42662.0,1330.0,1260.0,1304.0,1465866320.0,1321.0,1321.0,1311.0,1400.0,1308.0,89514.0,UR2001,UR888,UR
79,2019-10-18,23358.0,1311.0,1242.0,1304.0,802113720.0,1308.0,1318.0,1310.0,1380.0,1307.0,90502.0,UR2001,UR888,UR
80,2019-10-21,34972.0,1310.0,1241.0,1292.0,1193244640.0,1308.0,1308.0,1299.0,1379.0,1293.0,94696.0,UR2001,UR888,UR
81,2019-10-22,99962.0,1299.0,1230.0,1266.0,3364720920.0,1294.0,1297.0,1276.0,1368.0,1276.0,112242.0,UR2001,UR888,UR
82,2019-10-23,38312.0,1276.0,1208.0,1268.0,1287283200.0,1278.0,1279.0,1273.0,1344.0,1272.0,113544.0,UR2001,UR888,UR
83,2019-10-24,40328.0,1273.0,1205.0,1271.0,1358247040.0,1276.0,1285.0,1277.0,1341.0,1276.0,113368.0,UR2001,UR888,UR
84,2019-10-25,32438.0,1277.0,1209.0,1271.0,1091214320.0,1274.0,1280.0,1275.0,1345.0,1273.0,115202.0,UR2001,UR888,UR
85,2019-10-28,32350.0,1275.0,1207.0,1272.0,1090195000.0,1275.0,1285.0,1278.0,1343.0,1278.0,111456.0,UR2001,UR888,UR
86,2019-10-29,36342.0,1278.0,1210.0,1273.0,1225452240.0,1279.0,1288.0,1279.0,1346.0,1279.0,109100.0,UR2001,UR888,UR
87,2019-10-30,30166.0,1279.0,1211.0,1275.0,1019610800.0,1278.0,1288.0,1283.0,1347.0,1283.0,108308.0,UR2001,UR888,UR
88,2019-10-31,28798.0,1283.0,1215.0,1279.0,973948360.0,1283.0,1290.0,1284.0,1351.0,1279.0,109254.0,UR2001,UR888,UR
89,2019-11-01,24620.0,1284.0,1216.0,1274.0,829694000.0,1279.0,1283.0,1278.0,1352.0,1280.0,107634.0,UR2001,UR888,UR
90,2019-11-04,18892.0,1278.0,1210.0,1273.0,636282560.0,1280.0,1282.0,1277.0,1346.0,1275.0,108386.0,UR2001,UR888,UR
