date,¼×´¼MA,²£Á§FG,´¿¼îSA,¹èÌúSF,ÃÌ¹èSM,PTA,¶¯Á¦ÃºZC,ÄòËØUR
2021/1/4,2369,1832,1914,6800,7018,3970,362,1542
2021/1/5,2380,1799,1904,6974,7158,3938,379.8,1551
2021/1/6,2350,1767,1955,7304,7306,4000,374.8,1553
2021/1/7,2344,1752,1942,7442,7568,4116,398,1596
2021/1/8,2281,1746,1913,7808,7594,4076,395,1589
2021/1/11,2291,1757,1853,7960,7684,3958,407,1614
2021/1/12,2306,1741,1834,7764,7542,4012,410,1652
2021/1/13,2326,1702,1808,8074,7644,4110,397,1654
2021/1/14,2282,1657,1827,8026,7598,4082,392.8,1709
2021/1/15,2267,1663,1852,7556,7424,4084,417.8,1734
2021/1/18,2305,1698,1861,7746,7558,4028,407.8,1668
2021/1/19,2279,1694,1852,7716,7564,4026,372.2,1649
2021/1/20,2227,1697,1888,7626,7632,4032,363.6,1631
2021/1/21,2282,1720,1875,7324,7376,4010,358,1663
2021/1/22,2302,1741,1857,7220,7230,3940,341.4,1643
2021/1/25,2244,1769,1883,7270,7302,3976,341.8,1692
2021/1/26,2203,1723,1881,7132,7162,3938,341,1668
2021/1/27,2222,1738,1864,7156,7150,3988,347,1698
2021/1/28,2223,1754,1908,7230,7104,3960,340.8,1690
2021/1/29,2261,1749,1923,6896,6922,4084,322.8,1759
2021/2/1,2261,1768,1901,6964,6994,4170,322.6,1736
2021/2/2,2239,1732,1919,6726,6860,4196,302.4,1746
2021/2/3,2231,1734,1942,6758,6888,4156,299,1682
2021/2/4,2283,1781,1938,7144,7106,4204,303.8,1710
2021/2/5,2292,1799,1932,6884,6918,4188,300,1685
2021/2/8,2284,1805,1950,6958,6954,4214,300.8,1663
2021/2/9,2290,1830,1923,7086,7090,4220,310,1717
2021/2/10,2212,1834,1903,7302,7360,4190,321,1671
2021/2/18,2320,1885,1973,7482,7602,4346,292.6,1729
2021/2/19,2351,1875,1971,7368,7464,4344,294.4,1727
2021/2/22,2399,1923,2050,7514,7616,4476,292.4,1745
2021/2/23,2414,1933,2068,7674,7672,4612,295.6,1746
2021/2/24,2425,1952,2086,7890,7748,4766,300.8,1725
2021/2/25,2490,2023,2152,7828,7638,4930,310.2,1730
2021/2/26,2436,2008,2141,7940,7752,4836,299.4,1665
2021/3/1,2495,2035,2213,8064,7846,4814,322,1644
2021/3/2,2492,2054,2212,7836,7768,4622,330.4,1640
2021/3/3,2504,2052,2210,7906,7704,4606,336.2,1608
2021/3/4,2475,2041,2153,7870,7626,4672,345.4,1596
2021/3/5,2535,2071,2146,8222,7934,4766,321.4,1543
2021/3/8,2579,2035,2222,8220,7878,4822,341.6,1600
2021/3/9,2540,1977,2247,8112,7684,4632,338.6,1596
2021/3/10,2434,2005,2268,8254,7678,4496,317,1640
2021/3/11,2424,1950,2197,7990,7536,4586,331.4,1628
2021/3/12,2441,1936,2184,7696,7390,4598,336.4,1607
2021/3/15,2411,1985,2246,7514,7260,4596,324,1670
2021/3/16,2422,1965,2225,7278,7158,4494,334,1651
2021/3/17,2403,2031,2302,7240,7098,4598,366.8,1682
2021/3/18,2378,2042,2301,7398,7232,4610,362,1670
2021/3/19,2285,2019,2249,7106,7030,4354,362.4,1640
2021/3/22,2306,2054,2229,7334,7174,4402,367,1613
2021/3/23,2314,2046,2228,7162,7040,4404,371.4,1640
2021/3/24,2320,2013,2225,7072,6954,4378,382.8,1670
2021/3/25,2306,2015,2192,7180,7062,4356,386.4,1680
2021/3/26,2326,2097,2208,7122,7030,4480,388.6,1721
2021/3/29,2342,2089,2173,6972,6952,4450,422.4,1713
2021/3/30,2382,2099,2188,6826,6908,4452,429.4,1704
2021/3/31,2345,2076,2180,6810,6904,4438,420.6,1648
2021/4/1,2345,2080,2209,6912,6912,4430,424.8,1629
2021/4/2,2398,2081,2218,7028,6974,4532,431,1624
2021/4/6,2421,2123,2189,6964,6954,4586,425.4,1638
2021/4/7,2432,2116,2157,6910,6950,4630,380.4,1676
2021/4/8,2422,2131,2139,6898,6886,4472,380,1677
2021/4/9,2426,2062,2085,6774,6832,4436,367.4,1713
2021/4/12,2320,2113,2063,6760,6828,4406,399.8,1692
2021/4/13,2345,2138,2079,6754,6898,4470,418.6,1710
2021/4/14,2365,2140,2084,6940,7050,4554,430,1737
2021/4/15,2428,2185,2045,7194,7148,4672,445,1741
2021/4/16,2472,2203,2076,7402,7232,4708,451.8,1757
2021/4/19,2477,2204,2140,7360,7256,4708,478.6,1790
2021/4/20,2468,2237,2148,7324,7238,4708,472.8,1818
2021/4/21,2424,2222,2107,7308,7246,4652,464,1830
2021/4/22,2420,2210,2105,7370,7262,4588,492.2,1875
2021/4/23,2390,2238,2095,7566,7502,4614,487.4,1870
2021/4/26,2448,2251,2119,7460,7352,4596,480.6,1841
2021/4/27,2471,2290,2173,7336,7256,4736,482,1884
2021/4/28,2449,2305,2177,7406,7282,4840,500,1881
2021/4/29,2467,2353,2217,7616,7434,4842,527.6,1893
2021/4/30,2456,2397,2259,7372,7198,4784,530.6,1907
2021/5/6,2546,2500,2362,7534,7422,4854,591.8,1924
2021/5/7,2590,2523,2334,7646,7490,4872,605.4,1900
2021/5/10,2580,2657,2344,7862,7666,4864,634,1958
2021/5/11,2574,2755,2324,7760,7530,4750,642.2,2023
2021/5/12,2722,2866,2421,8244,7716,4858,685.8,2057
2021/5/13,2770,2820,2383,7910,7272,4652,625,2072
2021/5/14,2749,2724,2373,8020,7172,4572,589.8,1994
2021/5/17,2693,2720,2410,7924,7234,4634,575.2,2045
2021/5/18,2705,2777,2401,8210,7496,4744,583.8,2118
2021/5/19,2670,2639,2303,7984,7496,4628,592.8,2060
2021/5/20,2566,2610,2253,8054,7634,4640,521.4,2072
2021/5/21,2528,2532,2259,8178,7590,4554,455,2060
2021/5/24,2591,2561,2273,7916,7514,4606,468.6,2045
2021/5/25,2601,2592,2310,7678,7356,4696,473.8,2016
2021/5/26,2697,2550,2307,7678,7330,4686,468,2040
2021/5/27,2584,2522,2301,7504,7216,4620,486.4,1977
