,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
0,苹果AP,2021-12-01,1,海通期货,94691,-5617,银河期货,11072,-1400,银河期货,11898,-793
1,苹果AP,2021-12-01,2,光大期货,39746,-5243,中信期货,11035,-2033,中信期货,10545,432
2,苹果AP,2021-12-01,3,中信期货,29175,-10202,徽商期货,8378,17,海通期货,9059,1232
3,苹果AP,2021-12-01,4,华闻期货,28211,-10335,方正中期,8119,673,徽商期货,8708,-91
4,苹果AP,2021-12-01,5,东吴期货,18215,-12798,海通期货,7936,-1207,方正中期,8097,454
5,苹果AP,2021-12-01,6,国泰君安,12303,-5524,华闻期货,7757,-2793,鲁证期货,7819,-855
6,苹果AP,2021-12-01,7,银河期货,11755,-5419,申银万国,7623,69,申银万国,7600,113
7,苹果AP,2021-12-01,8,东证期货,11753,-16038,鲁证期货,7188,-320,华闻期货,7545,-2850
8,苹果AP,2021-12-01,9,徽商期货,11388,-5398,国泰君安,6891,-656,东吴期货,6980,-286
9,苹果AP,2021-12-01,10,中辉期货,9976,-5288,东证期货,6566,-678,东证期货,6733,-227
10,苹果AP,2021-12-01,11,东方财富,9393,-3378,东吴期货,6431,-585,国泰君安,6137,-823
11,苹果AP,2021-12-01,12,华泰期货,9092,-2894,中辉期货,5311,-1122,国投安信期货,5172,-155
12,苹果AP,2021-12-01,13,方正中期,8749,-2749,国投安信期货,4953,-323,中辉期货,4886,-1318
13,苹果AP,2021-12-01,14,安粮期货,7806,-1551,兴证期货,4162,649,光大期货,4546,-4901
14,苹果AP,2021-12-01,15,国信期货,7589,-2936,光大期货,4009,-4881,华安期货,4236,63
15,苹果AP,2021-12-01,16,兴证期货,7269,-5918,华安期货,3940,-100,南华期货,4185,-7
16,苹果AP,2021-12-01,17,华安期货,6607,-1600,南华期货,3882,-18,华泰期货,4112,510
17,苹果AP,2021-12-01,18,新湖期货,6131,-3836,安粮期货,3788,109,安粮期货,3963,-357
18,苹果AP,2021-12-01,19,鲁证期货,5760,-2934,一德期货,3761,365,兴证期货,3673,-866
19,苹果AP,2021-12-01,20,国富期货,5666,-3321,华泰期货,3740,-732,中州期货,3520,-919
